報告数・定点当り報告数、疾病・都道府県別,,
2026年10週(03月02日～03月08日),2026年03月11日作成,
,急性呼吸器感染症,
,報告,定当
総数,227769,60.08
北海道,11863,71.04
青森県,3482,66.96
岩手県,4485,106.79
宮城県,4182,76.04
秋田県,1212,48.48
山形県,2952,77.68
福島県,3209,66.85
茨城県,4429,66.1
栃木県,3693,78.57
群馬県,3890,86.44
埼玉県,13662,78.07
千葉県,11095,60.96
東京都,22719,54.35
神奈川県,15374,64.33
新潟県,3807,73.21
富山県,4067,84.73
石川県,3786,80.55
福井県,1918,49.18
山梨県,1140,32.57
長野県,4489,89.78
岐阜県,2137,47.49
静岡県,6000,43.17
愛知県,11330,69.51
三重県,3069,44.48
滋賀県,3226,55.62
京都府,3582,55.97
大阪府,11195,38.74
兵庫県,8898,54.26
奈良県,1790,42.62
和歌山県,1813,40.29
鳥取県,1985,68.45
島根県,1140,60
岡山県,3047,60.94
広島県,4771,51.3
山口県,4650,73.81
徳島県,1372,41.58
香川県,1077,46.83
愛媛県,2520,68.11
高知県,1511,39.76
福岡県,7603,62.32
佐賀県,1238,51.58
長崎県,3641,71.39
熊本県,4553,63.24
大分県,3618,62.38
宮崎県,1186,42.36
鹿児島県,2926,51.33
沖縄県,2437,54.16
