disease_id,local_name,local_code,category,aliases,notes,data_source
D001,Plague,A20,Bacterial,,From standard_diseases: 鼠疫,Standard Database + CN Mapping
D002,Cholera,A00,Bacterial,,From standard_diseases: 霍乱,Standard Database + CN Mapping
D003,SARS,U04,Viral,SARS|SARS-CoV,From standard_diseases: 传染性非典型肺炎,Standard Database + CN Mapping
D004,COVID-19,U07.1,Viral,,From standard_diseases: 新型冠状病毒感染,Standard Database + CN Mapping
D005,HIV/AIDS,B20-B24,Viral,AIDS|HIV,From standard_diseases: 艾滋病,Standard Database + CN Mapping
D006,Viral Hepatitis,B15-B19,Viral,Hepatitis,From standard_diseases: 病毒性肝炎,Standard Database + CN Mapping
D007,Hepatitis A,B15,Viral,,From standard_diseases: 甲型肝炎,Standard Database + CN Mapping
D008,Hepatitis B,B16,Viral,,From standard_diseases: 乙型肝炎,Standard Database + CN Mapping
D009,Hepatitis C,B17.1,Viral,,From standard_diseases: 丙型肝炎,Standard Database + CN Mapping
D010,Hepatitis D,B17.0,Viral,,From standard_diseases: 丁型肝炎,Standard Database + CN Mapping
D011,Hepatitis E,B17.2,Viral,,From standard_diseases: 戊型肝炎,Standard Database + CN Mapping
D012,Other Hepatitis,B19,Viral,,From standard_diseases: 未分型肝炎,Standard Database + CN Mapping
D013,Poliomyelitis,A80,Viral,,From standard_diseases: 脊髓灰质炎,Standard Database + CN Mapping
D014,H5N1,J09,Viral,,From standard_diseases: 人感染高致病性禽流感,Standard Database + CN Mapping
D015,H7N9,J09,Viral,,From standard_diseases: 人感染H7N9禽流感,Standard Database + CN Mapping
D016,Novel Influenza,J09,Viral,,From standard_diseases: 人感染新亚型流感,Standard Database + CN Mapping
D017,Measles,B05,Viral,,From standard_diseases: 麻疹,Standard Database + CN Mapping
D018,Hemorrhagic Fever,A98.5,Viral,,From standard_diseases: 流行性出血热,Standard Database + CN Mapping
D019,Rabies,A82,Viral,,From standard_diseases: 狂犬病,Standard Database + CN Mapping
D020,Japanese Encephalitis,A83.0,Viral,,From standard_diseases: 流行性乙型脑炎,Standard Database + CN Mapping
D021,Dengue,A90,Viral,,From standard_diseases: 登革热,Standard Database + CN Mapping
D022,Meningococcal infection,A39,Bacterial,,From standard_diseases: 脑膜炎球菌感染,Standard Database + CN Mapping
D023,Anthrax,A22,Bacterial,,From standard_diseases: 炭疽,Standard Database + CN Mapping
D024,Dysentery,A03-A06,Bacterial,,From standard_diseases: 细菌性和阿米巴性痢疾,Standard Database + CN Mapping
D025,Tuberculosis,A15-A19,Bacterial,TB,From standard_diseases: 肺结核,Standard Database + CN Mapping
D026,Typhoid and Paratyphoid fever,A01,Bacterial,Typhoid,From standard_diseases: 伤寒和副伤寒,Standard Database + CN Mapping
