"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2024",,,,,,"Data collected as of November 27, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,11678,2.36,734,0.23,883,0.28,6401,2.04,9668,3.08,724,0.23,10567,3.37,1612,0.51,756,0.24,239,0.08,83,0.03,15,0.02,367,0.53,11,0.02,13,0.03,1233,2.57,-,-,6,0.01,8948,1.81
Hokkaido,469,2.11,97,0.71,79,0.58,611,4.46,151,1.1,81,0.59,458,3.34,8,0.06,20,0.15,9,0.07,4,0.03,1,0.03,7,0.24,-,-,-,-,67,3.05,-,-,-,-,1220,5.5
Aomori,82,1.41,13,0.35,15,0.41,36,0.97,70,1.89,10,0.27,116,3.14,50,1.35,11,0.3,2,0.05,-,-,-,-,1,0.1,-,-,-,-,27,4.5,-,-,-,-,214,3.69
Iwate,161,2.56,6,0.15,26,0.65,106,2.65,152,3.8,16,0.4,271,6.78,20,0.5,10,0.25,-,-,2,0.05,-,-,1,0.07,-,-,-,-,43,2.26,-,-,-,-,401,6.37
Miyagi,258,2.84,-,-,33,0.6,116,2.11,159,2.89,20,0.36,314,5.71,26,0.47,15,0.27,2,0.04,-,-,-,-,4,0.33,-,-,-,-,14,1.4,-,-,-,-,284,3.12
Akita,158,3.1,5,0.15,13,0.39,43,1.3,59,1.79,6,0.18,93,2.82,-,-,3,0.09,2,0.06,-,-,-,-,1,0.14,-,-,-,-,9,1.13,-,-,-,-,406,7.96
Yamagata,243,5.65,7,0.25,14,0.5,75,2.68,157,5.61,18,0.64,162,5.79,4,0.14,11,0.39,-,-,1,0.04,-,-,5,0.63,-,-,-,-,11,1.1,-,-,-,-,107,2.49
Fukushima,300,3.66,13,0.27,11,0.22,86,1.76,81,1.65,4,0.08,227,4.63,21,0.43,15,0.31,1,0.02,2,0.04,-,-,18,1.38,-,-,-,-,24,3.43,-,-,-,-,267,3.26
Ibaraki,155,1.29,10,0.13,22,0.29,266,3.55,151,2.01,12,0.16,225,3,15,0.2,18,0.24,8,0.11,-,-,-,-,30,1.76,1,0.08,-,-,50,3.85,-,-,-,-,234,1.95
