報告数・定点当り報告数、疾病・都道府県別,,
2026年06週(02月02日～02月08日),2026年02月12日作成,
,急性呼吸器感染症,
,報告,定当
総数,387947,102.39
北海道,11673,69.48
青森県,3502,67.35
岩手県,5579,132.83
宮城県,7282,134.85
秋田県,1644,65.76
山形県,3667,96.5
福島県,6170,128.54
茨城県,8729,130.28
栃木県,6735,143.3
群馬県,5509,122.42
埼玉県,25761,147.21
千葉県,22679,124.61
東京都,41540,99.86
神奈川県,30772,128.22
新潟県,4373,84.1
富山県,4720,100.43
石川県,3567,75.89
福井県,2059,52.79
山梨県,3235,92.43
長野県,5664,113.28
岐阜県,3550,78.89
静岡県,12601,90.65
愛知県,20737,127.22
三重県,7316,107.59
滋賀県,4886,84.24
京都府,6225,98.81
大阪府,20323,70.08
兵庫県,17042,103.91
奈良県,3783,90.07
和歌山県,3900,86.67
鳥取県,2186,75.38
島根県,2039,101.95
岡山県,4524,90.48
広島県,7370,79.25
山口県,7273,115.44
徳島県,2401,72.76
香川県,1514,65.83
愛媛県,4568,123.46
高知県,2360,62.11
福岡県,11812,96.82
佐賀県,1908,79.5
長崎県,5877,115.24
熊本県,8239,114.43
大分県,8197,141.33
宮崎県,2772,99
鹿児島県,6820,119.65
沖縄県,2864,63.64
