報告数・定点当り報告数、疾病・都道府県別,,
2026年09週(02月23日～03月01日),2026年03月04日作成,
,急性呼吸器感染症,
,報告,定当
総数,246507,64.96
北海道,10602,63.49
青森県,3368,64.77
岩手県,4518,107.57
宮城県,3840,69.82
秋田県,1344,53.76
山形県,2968,78.11
福島県,3701,77.1
茨城県,5019,74.91
栃木県,4210,89.57
群馬県,4005,89
埼玉県,15544,89.33
千葉県,11919,65.49
東京都,25025,59.87
神奈川県,16760,68.97
新潟県,3948,75.92
富山県,4319,91.89
石川県,4103,87.3
福井県,1924,49.33
山梨県,1212,34.63
長野県,4733,94.66
岐阜県,2637,58.6
静岡県,6455,46.44
愛知県,12145,74.51
三重県,3757,54.45
滋賀県,3715,64.05
京都府,3906,61.03
大阪府,12483,43.04
兵庫県,9766,59.55
奈良県,2337,55.64
和歌山県,2266,50.36
鳥取県,1721,59.34
島根県,1229,61.45
岡山県,3368,67.36
広島県,4977,53.52
山口県,5080,80.63
徳島県,1605,48.64
香川県,1212,52.7
愛媛県,2859,77.27
高知県,1580,41.58
福岡県,8214,67.33
佐賀県,1340,55.83
長崎県,3857,75.63
熊本県,4890,67.92
大分県,4169,71.88
宮崎県,1738,62.07
鹿児島県,3340,58.6
沖縄県,2799,62.2
