Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,0,1,1,0,0,0,1,1,1,2,0,7
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,3,3,1,4,3,2,6,8,7,6,6,5,54
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickenpox,1754,996,988,889,1097,1650,1449,780,565,858,1337,1270,13633
Chikungunya fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,0,0,0,0,0,0,1,0,0,0,0,1,2
Community-associated methicillin-resistant Staphylococcus aureus infection,51,37,57,39,51,59,48,55,62,50,73,42,624
Creutzfeldt-Jakob disease,0,0,1,1,1,0,0,1,1,0,0,0,5
Dengue fever,3,1,0,2,3,0,0,8,3,2,4,4,30
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,4,1,0,2,17,15,11,9,1,1,7,0,68
Food poisoning - Outbreaks,34,31,21,26,30,37,37,32,22,14,32,24,340
Food poisoning - Persons affected,124,149,60,78,82,136,172,95,98,41,128,121,1284
Haemophilus influenzae type b infection (invasive),0,1,0,0,0,0,0,0,0,0,0,0,1
Hantavirus infection,0,0,0,0,0,0,0,0,0,1,0,0,1
Influenza A - Influenza A (H2),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H9),0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese encephalitis,0,0,0,0,0,0,0,1,0,0,0,0,1
Legionnaires' disease,1,1,0,1,2,0,2,2,2,1,2,3,17
Leprosy,0,0,0,1,2,0,1,0,2,0,0,0,6
Leptospirosis,0,1,0,0,0,0,1,0,0,0,1,0,3
Listeriosis,0,0,0,2,0,3,2,0,1,1,1,3,13
Malaria,1,2,2,1,6,6,4,5,7,3,2,2,41
Measles,0,0,2,1,2,1,2,0,2,2,0,0,12
Meningococcal infection (invasive),1,1,1,1,1,0,0,0,1,0,0,2,8
Mumps,6,10,18,15,6,16,7,18,17,20,11,9,153
Paratyphoid fever,2,3,2,1,2,3,0,1,0,2,3,2,21
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,0,0,0,0,0,0,0,0,1,1,0,0,2
Q fever,0,0,1,2,0,1,0,0,0,0,0,0,4
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,3,2,10,9,11,6,4,11,3,17,6,2,84
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,34,24,43,73,100,407,296,93,86,70,141,159,1526
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiga toxin-producing Escherichia coli infection,1,0,0,0,0,0,0,1,0,0,1,0,3
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,1,0,1,1,0,1,1,1,1,1,0,0,8
Tetanus,0,0,0,0,0,0,0,0,0,0,1,0,1
Tuberculosis,364,338,467,360,426,415,394,450,393,368,434,385,4794
Typhoid fever,1,6,2,1,5,0,2,3,3,2,4,5,34
Typhus and other rickettsial diseases - Scrub typhus,0,0,0,0,0,0,1,1,0,2,1,2,7
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,0,0,0,0,2,0,0,2
Typhus and other rickettsial diseases - Spotted fever,1,0,1,0,2,2,2,3,3,2,1,3,20
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,2,0,0,1,0,0,6,1,10
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,5,9,5,4,4,2,2,4,5,3,3,0,46
Viral hepatitis - B,16,4,2,5,6,3,7,10,2,4,5,6,70
Viral hepatitis - C,0,0,1,2,0,0,2,0,0,0,0,0,5
Viral hepatitis - E,12,11,23,15,15,5,2,10,5,6,6,9,119
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,0,4,1,0,6,3,2,3,1,0,0,3,23
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2298,1486,1651,1459,1800,2637,2286,1512,1197,1440,2090,1942,21798
