Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,0,0,0,0,0,1,1,2,1,0,0,0,5
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic Dysentery,0,0,0,1,0,0,0,1,0,0,0,0,2
Bacillary Dysentery,4,1,6,5,6,12,14,40,17,10,7,7,129
Chickenpox,2198,1416,1042,766,661,953,988,490,432,611,1000,1373,11930
Dengue Fever,0,2,1,3,0,2,2,4,5,4,4,4,31
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,67,73,106,45,79,118,92,126,100,55,33,79,973
Food Poisoning - Persons affected,202,424,269,250,324,482,327,433,389,169,98,234,3601
"Influenza A(H5) , Influenza A(H7) or Influenza A(H9)",0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese Encephalitis,0,0,0,0,0,0,1,1,0,0,0,0,2
Legionnaires' Disease,0,0,0,1,1,0,1,4,2,0,2,0,11
Leprosy,0,1,0,0,0,0,0,0,0,1,1,0,3
Malaria,2,2,2,3,3,1,6,5,3,3,0,2,32
Measles,3,4,4,6,10,12,14,7,1,2,1,1,65
Meningococcal Infections,1,0,0,1,0,1,0,0,0,0,1,0,4
Mumps,15,21,15,13,17,22,13,11,5,8,2,3,145
Paratyphoid Fever,4,0,0,1,1,2,1,7,5,2,1,9,33
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,1,6,6,4,8,4,7,4,8,3,1,1,53
Scarlet Fever,19,14,24,14,16,13,17,13,9,6,12,20,177
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis Infection ,0,0,1,0,1,2,3,4,0,1,1,0,13
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,494,427,527,556,565,568,599,537,521,463,493,410,6160
Typhoid Fever,1,3,3,2,2,2,3,2,3,0,4,11,36
Typhus - Scrub,0,3,0,0,0,5,4,7,2,6,2,1,30
Typhus - Urban,0,0,0,1,1,2,1,2,0,0,1,0,8
Viral Hepatitis - A,8,12,8,11,4,0,2,3,7,6,0,3,64
Viral Hepatitis - B,7,9,13,9,4,8,9,11,10,8,10,7,105
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,1,0,1
Viral Hepatitis - E,2,7,4,8,2,2,1,2,3,2,1,0,34
Viral Hepatitis - Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping Cough,1,1,4,7,4,4,1,6,1,0,1,2,32
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2827,2002,1766,1457,1385,1734,1780,1289,1135,1191,1579,1933,20078
