Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,,
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Amoebic dysentery,0,4,0,2,1,1,1,0,0,0,1,1,11,,,
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bacillary dysentery,6,1,0,1,4,2,4,9,3,11,5,5,51,,,
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chickenpox,1082,745,584,551,595,605,703,413,373,544,820,785,7800,,,
Chikungunya fever,0,0,0,1,1,0,0,0,0,0,0,0,2,,,
Cholera,0,0,0,0,0,0,0,1,0,0,0,0,1,,,
Community-associated methicillin-resistant Staphylococcus aureus infection,68,69,66,76,94,102,87,97,99,103,75,61,997,,,
Creutzfeldt-Jakob disease,0,0,1,1,1,1,2,1,1,0,0,0,8,,,
Dengue fever,1,6,1,15,2,11,11,13,10,27,12,3,112,,,
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Enterovirus 71 infection,0,4,6,4,17,10,14,6,4,2,1,0,68,,,
Food poisoning - Outbreaks,38,10,12,16,18,14,16,23,18,19,9,21,214,,,
Food poisoning - Persons affected,222,30,36,62,57,137,106,74,61,143,71,135,1134,,,
Haemophilus influenzae type b infection (invasive),1,0,0,0,0,1,2,0,0,0,0,2,6,,,
Hantavirus infection,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Japanese encephalitis,0,0,0,0,0,1,3,1,0,0,0,0,5,,,
Legionnaires' disease,1,2,2,3,5,2,12,1,3,2,6,2,41,,,
Leprosy,0,1,1,0,3,1,1,0,0,1,1,0,9,,,
Leptospirosis,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
Listeriosis,3,2,1,6,3,0,1,3,0,1,1,1,22,,,
Malaria,3,2,0,1,0,6,3,2,3,2,1,0,23,,,
Measles,5,6,9,4,4,7,6,4,4,1,0,0,50,,,
Meningococcal infection (invasive),1,0,0,1,0,1,1,1,0,0,0,0,5,,,
Middle East Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mumps,12,5,11,7,15,8,11,8,8,8,12,6,111,,,
Novel influenza A infection - Variant Influenza A (H3N2),0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Novel influenza A infection - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Novel influenza A infection - Influenza A (H7),2,1,2,3,0,0,0,0,0,0,0,1,9,,,
Novel influenza A infection - Others,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Paratyphoid fever,2,4,2,4,0,4,1,2,4,0,2,1,26,,,
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Psittacosis,0,1,3,0,0,0,1,0,0,1,0,0,6,,,
Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rabies,0,0,0,0,0,0,0,0,0,0,0,1,1,,,
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rubella and congenital rubella syndrome - Rubella,1,1,0,2,6,1,1,0,1,0,0,1,14,,,
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Scarlet fever,180,98,121,86,135,134,98,43,54,72,102,115,1238,,,
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Shiga toxin-producing Escherichia coli infection,1,0,0,0,0,0,1,0,0,0,0,0,2,,,
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Streptococcus suis infection,0,0,1,0,2,1,1,2,1,3,0,1,12,,,
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tuberculosis,354,305,426,428,407,423,416,378,418,364,403,383,4705,,,
Typhoid fever,4,4,0,0,1,4,0,5,3,3,1,2,27,,,
Typhus and other rickettsial diseases - Scrub typhus,0,1,2,0,0,4,6,1,2,1,2,0,19,,,
Typhus and other rickettsial diseases - Urban typhus,0,0,1,0,0,1,0,0,0,0,0,0,2,,,
Typhus and other rickettsial diseases - Spotted fever,0,0,0,1,1,1,1,1,3,2,5,2,17,,,
Typhus and other rickettsial diseases - Unclassified,0,0,0,1,3,0,1,1,1,0,0,0,7,,,
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Viral hepatitis - A,1,4,7,4,3,3,4,2,4,4,7,3,46,,,
Viral hepatitis - B,3,5,5,1,8,3,2,3,4,4,3,0,41,,,
Viral hepatitis - C,0,3,3,1,1,0,3,0,0,1,0,0,12,,,
Viral hepatitis - E,8,16,17,9,5,5,9,5,6,2,3,8,93,,,
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Whooping cough,2,0,2,3,2,1,3,2,2,8,3,2,30,,,
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),1779,1300,1286,1232,1337,1358,1427,1028,1029,1186,1475,1407,15844,,,
