Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,0,0,0,0,1,0,1,3,1,2,2,2,12
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,1,0,0,0,0,1
Amoebic Dysentery,0,0,0,0,0,0,1,0,0,0,2,0,3
Bacillary Dysentery,4,11,12,10,39,26,74,32,37,21,22,22,310
Chickenpox,1233,686,664,550,499,574,740,464,331,537,1062,1216,8556
Dengue Fever,0,1,1,0,0,0,0,2,2,0,1,4,11
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,44,33,38,14,49,63,112,79,39,78,33,36,618
Food Poisoning - Persons affected,147,133,128,52,226,206,611,259,162,223,125,180,2452
Legionnaires' Disease,0,0,0,0,0,0,0,0,1,0,0,1,2
Leprosy,0,0,0,1,1,3,0,0,1,3,1,1,11
Malaria,5,3,3,4,3,3,2,4,5,2,0,1,35
Measles,4,5,8,5,8,5,8,10,3,3,1,1,61
Meningococcal Infections,1,0,3,2,0,1,0,1,1,3,2,0,14
Mumps,6,6,4,5,7,10,6,10,8,6,2,7,77
Paratyphoid Fever,1,1,1,2,1,0,2,1,2,1,1,0,13
Rabies(Human),0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,10,89,459,878,633,155,47,31,11,6,13,6,2338
Scarlet Fever,20,7,17,16,11,16,9,7,6,3,3,8,123
Tetanus,0,0,2,0,1,1,0,1,0,1,1,0,7
Tuberculosis,542,514,669,575,680,729,697,735,628,595,593,621,7578
Typhoid Fever,5,4,10,11,7,7,23,11,13,9,3,2,105
Typhus Fever,0,0,0,0,0,1,0,1,0,0,2,0,4
Viral Hepatitis - A,60,91,88,61,74,23,9,12,17,14,12,44,505
Viral Hepatitis - B,6,7,9,10,14,9,6,8,13,23,18,14,137
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis - E,2,0,1,0,1,0,0,0,1,2,3,1,11
Viral Hepatitis - Unclassified,3,1,1,5,5,2,4,3,2,1,0,3,30
Whooping Cough,1,1,1,0,2,0,3,1,0,2,0,0,11
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),1947,1460,1991,2149,2036,1628,1744,1417,1122,1312,1777,1990,20573
