報告数・定点当り報告数、疾病・都道府県別,,
2026年07週(02月09日～02月15日),2026年02月18日作成,
,急性呼吸器感染症,
,報告,定当
総数,353864,93.17
北海道,11630,69.23
青森県,3515,67.6
岩手県,5566,132.52
宮城県,6329,115.07
秋田県,1665,66.6
山形県,3555,93.55
福島県,5551,115.65
茨城県,7769,115.96
栃木県,6106,129.91
群馬県,5154,114.53
埼玉県,24608,139.82
千葉県,19686,108.76
東京都,37529,89.78
神奈川県,26754,109.2
新潟県,4164,80.08
富山県,4776,101.62
石川県,4226,89.91
福井県,1917,49.15
山梨県,2437,69.63
長野県,5635,112.7
岐阜県,3487,77.49
静岡県,10270,73.88
愛知県,17947,110.1
三重県,6065,87.9
滋賀県,4494,77.48
京都府,5712,89.25
大阪府,18654,64.32
兵庫県,14520,88.54
奈良県,3423,83.49
和歌山県,3186,70.8
鳥取県,1889,65.14
島根県,1616,80.8
岡山県,4200,84
広島県,6666,71.68
山口県,7198,114.25
徳島県,2221,67.3
香川県,1859,80.83
愛媛県,4061,109.76
高知県,2036,53.58
福岡県,11744,96.26
佐賀県,1716,71.5
長崎県,5526,108.35
熊本県,8038,111.64
大分県,7618,131.34
宮崎県,2494,89.07
鹿児島県,5701,100.02
沖縄県,2951,65.58
