Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,2,1,0,0,0,0,1,0,0,0,0,0,4
Anthrax,-,-,-,-,-,-,0,0,0,0,0,0,0
Bacillary dysentery,2,2,20,23,12,16,11,7,27,15,4,11,150
Botulism,-,-,-,-,-,-,0,0,0,0,0,0,0
Chickenpox,1756,1052,670,509,516,592,666,328,351,656,862,968,8926
Cholera,0,0,0,1,0,0,0,0,2,2,0,2,7
Community-associated methicillin-resistant Staphylococcus aureus infection,15,20,14,22,17,16,37,24,34,23,31,29,282
Creutzfeldt-Jakob disease,-,-,-,-,-,-,0,0,1,0,0,0,1
Dengue fever,3,4,0,4,3,1,3,9,4,5,4,2,42
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli O157:H7 infection,-,-,-,-,-,-,1,0,0,0,0,0,1
Food poisoning - Outbreaks,24,43,27,24,44,79,107,82,84,48,22,35,619
Food poisoning - Persons affected,156,140,80,226,160,309,403,330,333,170,70,170,2547
Haemophilus influenzae type b infection (invasive),-,-,-,-,-,-,0,0,0,0,0,0,0
Hantavirus infection,-,-,-,-,-,-,0,1,0,0,0,0,1
"Influenza A(H2), Influenza A(H5), Influenza A(H7), Influenza A(H9)",0,0,0,0,0,0,0,0,0,0,0,1,1
Japanese encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionnaires' disease,0,0,0,1,2,3,4,1,1,1,0,0,13
Leprosy,0,0,0,0,0,1,2,0,0,0,0,2,5
Leptospirosis,-,-,-,-,-,-,1,1,0,0,2,0,4
Listeriosis,-,-,-,-,-,-,0,3,3,4,1,0,11
Malaria,0,0,1,2,2,1,2,4,6,4,2,1,25
Measles,1,7,7,7,7,7,9,11,7,3,1,1,68
Meningococcal infection (invasive),0,0,0,0,0,0,0,0,0,0,0,0,0
Mumps,17,10,8,8,12,10,8,12,24,7,4,16,136
Paratyphoid fever,1,1,1,2,3,3,2,2,2,4,0,0,21
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,-,-,-,-,-,-,0,0,0,0,0,0,0
Q fever,-,-,-,-,-,-,0,1,0,0,0,0,1
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,2,1,7,3,5,3,6,2,2,3,2,2,38
Rubella and congenital rubella syndrome - Congenital rubella syndrome,-,-,-,-,-,-,0,0,0,0,0,1,1
Scarlet fever,25,19,37,24,20,20,27,10,13,9,16,15,235
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,-,-,-,-,-,-,0,0,0,0,0,0,0
Streptococcus suis infection,1,0,1,0,0,0,0,1,2,0,0,1,6
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,497,345,415,531,441,489,588,473,506,473,424,453,5635
Typhoid fever,2,1,3,5,5,7,2,6,2,2,1,2,38
Typhus and other rickettsial diseases - Scrub typhus,0,2,0,1,0,2,4,2,4,3,1,0,19
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,1,0,0,0,0,0,0,0,1
Typhus and other rickettsial diseases - Spotted fever,-,-,-,-,-,-,1,3,3,3,4,1,15
Viral haemorrhagic fever,-,-,-,-,-,-,0,0,0,0,0,0,0
Viral hepatitis - A,5,6,5,7,7,4,8,5,10,9,5,0,71
Viral hepatitis - B,5,5,3,6,7,4,7,11,9,10,4,12,83
Viral hepatitis - C,0,0,0,0,0,0,1,1,0,0,1,0,3
Viral hepatitis - E,14,5,13,19,8,7,7,4,6,3,2,2,90
West Nile Virus Infection,-,-,-,-,-,-,0,0,0,0,0,0,0
Whooping cough,2,8,2,5,1,1,2,0,1,1,1,1,25
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2374,1532,1234,1204,1113,1266,1507,1004,1104,1288,1394,1558,16578
