Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,0,1,1,2,0,0,2,0,0,0,0,6
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,8,6,6,3,4,8,10,12,11,11,4,3,86
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickenpox,909,783,616,620,673,704,339,246,249,319,571,747,6776
Chikungunya fever,-,-,1,0,0,0,0,0,0,0,0,0,1
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0
Community-associated methicillin-resistant Staphylococcus aureus infection,22,30,29,29,22,38,31,37,39,35,20,36,368
Creutzfeldt-Jakob disease,0,0,1,1,0,1,0,0,1,0,2,0,6
Dengue fever,0,3,4,8,5,1,2,2,3,4,8,3,43
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,-,-,9,8,3,1,2,2,1,3,2,0,31
Escherichia coli O157:H7 infection,0,0,0,0,0,0,0,0,1,0,0,1,2
Food poisoning - Outbreaks,31,34,45,22,24,27,53,59,33,35,14,30,407
Food poisoning - Persons affected,104,150,146,79,63,112,177,207,131,159,41,171,1540
Haemophilus influenzae type b infection (invasive),0,0,0,0,0,0,1,0,0,0,0,0,1
Hantavirus infection,0,0,0,0,0,1,0,0,0,0,0,0,1
Influenza A - Influenza A (H2) ,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H9) ,0,0,0,0,0,0,0,0,0,0,1,1,2
Influenza A - Swine Influenza ,-,-,-,0,23,762,2887,8135,16090,3780,901,1596,34174
Japanese encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionnaires' disease,2,2,1,3,1,3,8,9,0,5,3,0,37
Leprosy,0,1,0,1,1,0,1,0,0,0,0,0,4
Leptospirosis,0,0,0,0,0,0,0,3,3,2,0,1,9
Listeriosis,3,2,1,5,0,1,0,0,2,0,0,0,14
Malaria,0,1,0,1,3,1,4,5,3,3,2,0,23
Measles,4,6,6,1,1,1,1,2,1,1,1,0,25
Meningococcal infection (invasive),1,0,0,0,0,0,0,0,0,0,1,0,2
Mumps,14,11,21,9,13,18,8,12,13,15,11,10,155
Paratyphoid fever,2,4,3,2,0,3,5,1,3,2,1,1,27
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,0,0,0,0,0,0,0,0,0,0,1,0,1
Q fever,0,1,0,3,0,0,0,0,0,0,0,0,4
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,2,6,13,1,2,4,2,3,3,5,1,0,42
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,29,15,22,30,32,12,9,6,12,6,7,7,187
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,0,0,1,0,0,1,1,0,1,0,2,0,6
Tetanus,1,0,0,0,0,0,0,0,0,0,0,0,1
Tuberculosis,362,445,462,492,431,489,471,437,443,367,397,397,5193
Typhoid fever,4,4,3,3,8,12,22,9,12,5,1,6,89
Typhus and other rickettsial diseases - Scrub typhus,0,1,0,2,1,1,3,5,4,2,1,0,20
Typhus and other rickettsial diseases - Urban typhus,1,0,0,0,0,0,0,0,1,1,2,0,5
Typhus and other rickettsial diseases - Spotted fever,2,1,1,2,0,1,4,0,1,1,0,0,13
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,0,1,0,1,0,0,0,0,2
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,5,3,8,10,6,7,9,5,1,6,1,3,64
Viral hepatitis - B,13,4,7,8,5,8,5,12,5,6,2,5,80
Viral hepatitis - C,0,0,0,0,0,0,1,0,1,0,0,1,3
Viral hepatitis - E,4,17,7,8,5,1,3,6,6,3,3,10,73
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,2,1,1,3,4,1,2,1,0,0,0,0,15
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),1421,1381,1269,1276,1269,2108,3884,9012,16943,4617,1960,2858,47998
