報告数・定点当り報告数、疾病・都道府県別,,
2026年08週(02月16日～02月22日),2026年02月25日作成,
,急性呼吸器感染症,
,報告,定当
総数,327429,86.46
北海道,12503,74.87
青森県,3623,69.67
岩手県,5138,122.33
宮城県,5293,96.24
秋田県,1513,60.52
山形県,3530,92.89
福島県,4730,98.54
茨城県,6892,102.87
栃木県,5826,123.96
群馬県,5281,117.36
埼玉県,21762,124.35
千葉県,17189,96.03
東京都,35809,85.87
神奈川県,23673,99.05
新潟県,4526,87.04
富山県,5152,109.62
石川県,4637,98.66
福井県,2119,54.33
山梨県,1913,54.66
長野県,5393,107.86
岐阜県,2718,60.4
静岡県,9203,66.21
愛知県,16477,101.09
三重県,5171,74.94
滋賀県,4539,78.26
京都府,5405,84.45
大阪府,16932,58.39
兵庫県,12775,77.9
奈良県,3133,74.6
和歌山県,2962,65.82
鳥取県,1914,66
島根県,1242,65.37
岡山県,4292,85.84
広島県,6551,70.44
山口県,6902,109.56
徳島県,2095,63.48
香川県,1443,62.74
愛媛県,3902,105.46
高知県,1987,52.29
福岡県,10866,89.07
佐賀県,1877,78.21
長崎県,4917,96.41
熊本県,7143,99.21
大分県,6155,106.12
宮崎県,2240,80
鹿児島県,4971,87.21
沖縄県,3115,69.22
