id,disease_id,standard_name_en,standard_name_zh,category,icd_10,icd_11,description,symptoms,transmission,source,is_active,confidence_score,last_verified_at,created_by,created_at,updated_at,metadata
2719,D001,Plague,鼠疫,Bacterial,A20,1B90,Bacterial infection caused by Yersinia pestis,,,ICD-10,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2720,D002,Cholera,霍乱,Bacterial,A00,1A00,Acute diarrheal disease caused by Vibrio cholerae,,,ICD-10,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2721,D003,SARS,传染性非典型肺炎,Viral,U04,1D65,Severe Acute Respiratory Syndrome,,,ICD-10,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2722,D004,COVID-19,新冠肺炎,Viral,U07.1,RA01,Coronavirus Disease 2019,,,ICD-10,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2723,D005,HIV/AIDS,艾滋病,Viral,B20-B24,1C62,Human Immunodeficiency Virus/Acquired Immune Deficiency Syndrome,,,China,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2724,D006,Shigellosis,志贺菌病,Bacterial,A03,1A03,,,,ICD-10,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2725,D007,Hepatitis A,甲型肝炎,Viral,B15,1E50.0,Hepatitis A virus infection,,,CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2726,D008,Hepatitis B,乙型肝炎,Viral,B16,1E50.1,Hepatitis B virus infection,,,CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2727,D009,Hepatitis C,丙型肝炎,Viral,B17.1,1E50.2,Hepatitis C virus infection,,,CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2728,D010,Hepatitis D,丁型肝炎,Viral,B17.0,1E50.3,Hepatitis D virus infection,,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2729,D011,Hepatitis E,戊型肝炎,Viral,B17.2,1E50.4,Hepatitis E virus infection,,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2730,D012,Other Hepatitis,未分型肝炎,Viral,B19,1E50.Y,Unspecified viral hepatitis,,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2731,D013,Poliomyelitis,脊髓灰质炎,Viral,A80,1C81,Polio caused by poliovirus,,,CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2732,D014,H5N1,人感染高致病性禽流感,Viral,J09,1E30.0,Highly pathogenic avian influenza A(H5N1),,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2733,D015,H7N9,人感染H7N9禽流感,Viral,J09,1E30.0,Avian influenza A(H7N9),,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
2734,D016,Novel Influenza,人感染新亚型流感,Viral,J09,1E30.0,Novel influenza A virus infections,,,China CDC,True,1.0,,migration,2026-02-14 10:03:20.674717,2026-02-14 10:03:20.674717,{}
