Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,1,8,39,1,2,2,1,11,5,0,1,0,71
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic Dysentery,0,1,1,1,0,0,0,0,0,0,0,0,3
Bacillary Dysentery,48,26,20,27,17,44,44,42,87,58,52,47,512
Dengue Fever,1,2,1,0,2,1,1,0,5,1,1,0,15
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,63,49,29,23,65,81,47,43,61,55,27,34,577
Food Poisoning - Persons affected,358,147,122,92,229,352,202,149,255,293,121,691,3011
Legionnaires' Disease,0,0,0,0,0,0,1,0,0,0,0,0,1
Leprosy,0,1,0,4,1,1,0,1,2,1,0,2,13
Malaria,3,3,2,4,6,7,5,4,9,4,2,5,54
Measles,3,6,6,7,7,11,12,1,1,0,1,1,56
Meningococcal Infections,0,0,1,0,0,1,0,0,0,0,0,0,2
Mumps,1,5,2,3,1,2,1,4,1,4,1,0,25
Paratyphoid Fever,0,1,2,0,2,1,2,2,3,2,1,0,16
Rabies(Human),0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,3,4,2,6,2,0,5,3,3,4,0,1,33
Scarlet Fever,6,3,2,1,0,0,1,1,1,2,2,8,27
Tetanus,0,0,3,0,0,0,0,0,0,0,0,0,3
Tuberculosis,499,535,591,594,808,641,550,772,583,677,696,727,7673
Typhoid Fever,12,10,6,5,7,5,4,5,8,1,5,1,69
Typhus Fever,0,0,1,0,0,1,3,0,0,3,0,0,8
Viral Hepatitis - A,86,77,103,49,23,16,16,10,13,10,28,43,474
Viral Hepatitis - B,11,4,10,10,7,18,13,9,22,13,13,15,145
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis - E,0,1,5,2,0,6,0,0,0,0,1,1,16
Viral Hepatitis - Unclassified,6,1,3,2,2,5,1,0,4,3,1,1,29
Whooping Cough,0,0,1,0,1,0,0,0,0,0,0,1,3
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),743,737,830,739,953,843,707,908,808,838,832,887,9825
