disease_id,standard_name_en,standard_name_zh,category,icd_10,icd_11,description,source
D001,Plague,鼠疫,Bacterial,A20,1B90,Bacterial infection caused by Yersinia pestis,ICD-10
D002,Cholera,霍乱,Bacterial,A00,1A00,Acute diarrheal disease caused by Vibrio cholerae,ICD-10
D003,SARS,传染性非典型肺炎,Viral,U04,1D65,Severe Acute Respiratory Syndrome,ICD-10
D004,COVID-19,新型冠状病毒感染,Viral,U07.1,RA01,Coronavirus Disease 2019,China CDC
D005,HIV/AIDS,艾滋病,Viral,B20-B24,1C62,Human Immunodeficiency Virus/Acquired Immune Deficiency Syndrome,China
D006,Viral Hepatitis,病毒性肝炎,Viral,B15-B19,1E50,Viral hepatitis (aggregate category),China CDC
D007,Hepatitis A,甲型肝炎,Viral,B15,1E50.0,Hepatitis A virus infection,CDC
D008,Hepatitis B,乙型肝炎,Viral,B16,1E50.1,Hepatitis B virus infection,CDC
D009,Hepatitis C,丙型肝炎,Viral,B17.1,1E50.2,Hepatitis C virus infection,CDC
D010,Hepatitis D,丁型肝炎,Viral,B17.0,1E50.3,Hepatitis D virus infection,China CDC
D011,Hepatitis E,戊型肝炎,Viral,B17.2,1E50.4,Hepatitis E virus infection,China CDC
D012,Other Hepatitis,未分型肝炎,Viral,B19,1E50.Y,Unspecified viral hepatitis,China CDC
D013,Poliomyelitis,脊髓灰质炎,Viral,A80,1C81,Polio caused by poliovirus,CDC
D014,H5N1,人感染高致病性禽流感,Viral,J09,1E30.0,Highly pathogenic avian influenza A(H5N1),China CDC
D015,H7N9,人感染H7N9禽流感,Viral,J09,1E30.0,Avian influenza A(H7N9),China CDC
D016,Novel influenza A,人感染新亚型流感,Viral,J09,1E30.0,"Canonical cross-country ID for novel influenza A virus infections",China CDC
D017,Measles,麻疹,Viral,B05,KA61,Highly contagious viral disease,ICD-10
D018,Hemorrhagic Fever,流行性出血热,Viral,A98.5,1D67.0,Hemorrhagic fever with renal syndrome,China CDC
D019,Rabies,狂犬病,Viral,A82,1C82,Fatal viral disease transmitted by animal bites,ICD-10
D020,Japanese Encephalitis,流行性乙型脑炎,Viral,A83.0,1C83.0,Mosquito-borne viral encephalitis,China CDC
D021,Dengue,登革热,Viral,A90,1D2Z.0,Mosquito-borne tropical disease,CDC
D022,Meningococcal infection,脑膜炎球菌感染,Bacterial,A39,1C20.1,"Deprecated duplicate for cross-country surveillance; use D110 as the canonical meningococcal ID",ICD-10
D023,Anthrax,炭疽,Bacterial,A22,1B91,Bacterial infection caused by Bacillus anthracis,ICD-10
D024,Dysentery,细菌性和阿米巴性痢疾,Bacterial,A03-A06,1A03-1A05,Intestinal infection causing diarrhea,ICD-10
D025,Tuberculosis,肺结核,Bacterial,A15-A19,1B10,Mycobacterium tuberculosis infection of lungs,CDC
D026,Typhoid and Paratyphoid fever,伤寒和副伤寒,Bacterial,A01,1B13,Enteric fever,China CDC
D027,Meningococcal Meningitis,流行性脑脊髓膜炎,Bacterial,A39,1C20.1,"Deprecated duplicate for cross-country surveillance; use D110 as the canonical meningococcal ID",China CDC
D028,Pertussis,百日咳,Bacterial,A37,CA01,Whooping cough caused by Bordetella pertussis,CDC
D029,Diphtheria,白喉,Bacterial,A36,1C15,Bacterial infection of throat and airways,ICD-10
D030,Neonatal Tetanus,新生儿破伤风,Bacterial,A33,1C13,Tetanus in newborns,China CDC
D031,Scarlet fever,猩红热,Bacterial,A38,1C1Z,Streptococcal infection,China CDC
D032,Brucellosis,布鲁氏菌病,Bacterial,A23,1B92,Bacterial zoonotic disease,ICD-10
D033,Gonorrhea,淋病,Bacterial,A54,1A72,Sexually transmitted bacterial infection,CDC
D034,Syphilis,梅毒,Bacterial,A50-A53,1A70,Sexually transmitted bacterial infection,CDC
D035,Leptospirosis,钩端螺旋体病,Bacterial,A27,1B95,Bacterial infection from animal urine,ICD-10
D036,Schistosomiasis,血吸虫病,Parasitic,B65,1F86,Parasitic flatworm infection,ICD-10
D037,Malaria,疟疾,Parasitic,B50-B54,1F40,Mosquito-borne parasitic disease,CDC
D038,Influenza,流行性感冒,Viral,J09-J11,1E30,Seasonal flu,China
D039,Mumps,流行性腮腺炎,Viral,B26,KA62,Viral infection of salivary glands,ICD-10
D040,Rubella,风疹,Viral,B06,KA63,German measles,ICD-10
D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,Viral,B30.3,9A60.1,Acute hemorrhagic conjunctivitis,China CDC
D042,Leprosy,麻风病,Bacterial,A30,1B20,Mycobacterium leprae infection,ICD-10
D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,A75,1C30,Epidemic and endemic typhus,China CDC
D044,Kala-azar,黑热病,Parasitic,B55,1F51,Visceral leishmaniasis,China CDC
D045,Echinococcosis,包虫病,Parasitic,B67,1F88,Hydatid disease,ICD-10
D046,Filariasis,丝虫病,Parasitic,B74,1F60,Parasitic worm infection,ICD-10
D047,Infectious Diarrhea,其他感染性腹泻病,Bacterial,A09,1A11,Other infectious diarrhea,China CDC
D048,Hand-Foot-Mouth Disease,手足口病,Viral,B08.4,KA05.40,Enterovirus infection common in children,China
D049,MERS,中东呼吸综合征,Viral,U00-U49,1D65.1,Middle East Respiratory Syndrome,China CDC
D050,Ebola,埃博拉出血热,Viral,A98.4,1D60,Ebola virus disease,China CDC
D051,Zika virus disease,寨卡病毒病,Viral,A92.5,1D47,"Canonical cross-country ID for Zika virus disease",China CDC
D052,Chikungunya,基孔肯雅热,Viral,A92.0,1D46,Chikungunya virus disease,China CDC
D053,Lassa,拉沙热,Viral,A96.2,1D61,Lassa fever,China CDC
D054,Varicella,水痘,Viral,B01,KA62.0,Chickenpox,ICD-10
D055,Clonorchiasis,肝吸虫病,Parasitic,B66.1,1F89.0,Clonorchiasis,China CDC
D056,Streptococcus suis,人感染猪链球菌病,Bacterial,A40.0,1C1Y,Swine streptococcosis,China CDC
D057,SFTS,发热伴血小板减少综合征,Viral,A98.8,1D6Y,Severe fever with thrombocytopenia syndrome,China CDC
D058,Scrub Typhus,恙虫病,Bacterial,A75.3,1C30.2,Tsutsugamushi disease,China CDC
D059,Yellow fever,黄热病,Viral,A95,1D48,,ICD-10
D060,Arenaviral haemorrhagic fever,沙粒病毒出血热,Viral,A96,,,ICD-10
D061,Other viral haemorrhagic fevers,其他病毒性出血热,Viral,A98,,,ICD-10
D062,Herpesviral infections,疱疹病毒感染,Viral,B00,1E90,,ICD-10
D063,Zoster,带状疱疹,,B02,1E91,,ICD-10
