Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,0,1,1,0,0,0,0,0,0,0,0,2
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,2,1,2,5,4,8,17,18,9,7,2,3,78
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickenpox,789,563,723,657,937,1280,1045,581,634,1042,1632,1712,11595
Chikungunya fever,0,0,0,0,0,0,0,0,0,1,1,0,2
Cholera,0,0,0,0,2,1,0,5,0,0,0,1,9
Community-associated methicillin-resistant Staphylococcus aureus infection,23,31,27,41,24,48,43,54,50,64,41,49,495
Creutzfeldt-Jakob disease,0,2,2,0,0,0,0,1,0,1,0,0,6
Dengue fever,4,3,5,5,6,8,4,18,16,7,6,1,83
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,2,2,4,13,17,24,20,11,6,0,2,0,101
Escherichia coli O157:H7 infection,0,0,1,0,2,0,1,1,1,0,0,0,6
Food poisoning- Outbreaks,22,13,24,19,33,59,39,27,31,18,12,19,316
Food poisoning- Persons affected,52,62,67,49,130,190,139,101,102,64,44,56,1056
Haemophilus influenzae type b infection (invasive),0,0,0,0,0,0,0,0,0,0,0,1,1
Hantavirus infection,0,0,0,0,0,0,0,1,0,0,0,0,1
Influenza A - Influenza A (H2) ,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,1,0,1
Influenza A - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H9),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Swine Influenza,1092,469,573,148,104,26,79,151,71,9,-,-,2722
Japanese encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionnaires' disease,2,2,3,2,1,5,0,1,0,1,2,1,20
Leprosy,0,0,0,0,1,0,0,0,2,0,0,0,3
Leptospirosis,0,0,0,2,0,0,2,1,0,0,1,1,7
Listeriosis,0,0,0,1,0,0,0,1,1,3,0,0,6
Malaria,0,1,1,1,1,3,11,8,4,2,1,1,34
Measles,1,3,1,1,1,0,1,2,1,0,0,0,11
Meningococcal infection (invasive),0,0,1,0,0,0,0,0,0,0,0,1,2
Mumps,10,6,13,10,17,18,14,19,22,10,14,13,166
Paratyphoid fever,1,1,3,2,2,3,6,2,0,2,3,1,26
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,0,1,0,0,0,0,0,0,0,0,0,0,1
Q fever,0,1,0,0,0,0,0,0,0,0,0,0,1
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,0,3,3,3,5,4,6,5,2,4,2,1,38
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,11,12,11,7,9,8,7,4,10,8,14,27,128
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,2,0,0,0,0,1,0,2,2,2,0,1,10
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,363,349,486,394,416,487,453,421,433,456,419,416,5093
Typhoid fever,3,0,4,1,3,3,5,2,6,1,0,1,29
Typhus and other rickettsial diseases - Scrub typhus,0,1,2,0,3,3,0,4,0,1,3,0,17
Typhus and other rickettsial diseases - Urban typhus,0,0,1,0,0,0,0,0,0,0,1,0,2
Typhus and other rickettsial diseases - Spotted fever,2,1,1,1,0,6,2,2,0,2,2,3,22
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,0,0,0,0,1,1,1,0,3
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,4,5,9,4,3,5,4,6,7,5,9,4,65
Viral hepatitis - B,7,4,4,8,10,7,5,5,9,1,7,6,73
Viral hepatitis - C,2,0,2,1,0,0,2,1,1,0,1,1,11
Viral hepatitis - E,11,18,20,8,5,7,11,5,7,7,8,11,118
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,1,0,0,0,0,0,1,2,0,0,0,1,5
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2354,1492,1927,1335,1606,2014,1778,1361,1326,1655,2185,2276,21309
