Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,0,0,0,0,1,8,5,4,18,1,1,0,38
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic Dysentery,0,0,0,0,0,2,0,2,1,0,0,1,6
Bacillary Dysentery,31,12,17,39,20,52,31,40,36,56,31,25,390
Chickenpox,1484,1178,1150,868,1119,1424,1714,856,666,1205,2141,2667,16472
Dengue Fever,0,0,2,0,2,2,1,1,2,3,2,2,17
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,48,63,37,28,57,111,69,88,52,41,31,46,671
Food Poisoning - Persons affected,150,387,168,89,298,456,276,287,227,126,91,152,2707
Legionnaires' Disease,0,0,0,0,0,1,0,0,0,2,0,0,3
Leprosy,0,1,2,2,2,0,0,0,1,0,2,0,10
Malaria,3,6,3,4,0,3,3,7,3,7,5,3,47
Measles,2,2,11,6,45,43,30,18,9,6,5,2,179
Meningococcal Infections,0,2,4,2,0,0,1,1,0,0,0,0,10
Mumps,4,3,6,4,9,8,7,7,7,0,3,9,67
Paratyphoid Fever,4,2,1,1,0,2,1,4,2,3,1,0,21
Rabies(Human),0,0,0,0,0,0,0,0,0,1,0,0,1
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,8,4,3,7,4,9,3,3,1,4,2,3,51
Scarlet Fever,10,9,22,12,11,14,15,17,14,8,10,5,147
Tetanus,0,0,1,0,1,0,1,1,0,0,0,0,4
Tuberculosis,503,516,670,565,713,651,592,693,587,654,560,558,7262
Typhoid Fever,2,7,7,1,11,5,13,4,6,5,3,3,67
Typhus Fever,0,0,1,0,0,1,2,1,1,0,1,0,7
Viral Hepatitis - A,105,85,75,65,60,22,14,16,19,7,7,19,494
Viral Hepatitis - B,9,9,8,16,13,14,12,11,16,9,11,6,134
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis - E,4,4,5,3,0,2,1,1,0,1,3,2,26
Viral Hepatitis - Unclassified,4,2,3,3,5,1,0,1,1,0,1,2,23
Whooping Cough,0,0,0,4,5,1,0,2,1,1,1,0,15
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2221,1905,2028,1630,2078,2376,2515,1778,1443,2014,2821,3353,26162
