Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,0,0,0,1,0,1,1,0,1,1,2,7
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,1,3,3,5,3,11,12,5,3,4,4,5,59
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickenpox,1131,679,558,413,587,720,601,451,390,745,1161,1153,8589
Chikungunya fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,0,0,0,0,0,0,1,1,0,0,0,0,2
Community-associated methicillin-resistant Staphylococcus aureus infection,56,49,56,52,74,78,90,79,80,67,65,69,815
Creutzfeldt-Jakob disease,2,0,0,1,0,0,0,1,1,1,0,2,8
Dengue fever,4,5,5,5,5,2,6,6,6,3,3,3,53
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,1,0,1,8,18,11,8,6,5,0,1,0,59
Food poisoning - Outbreaks,37,19,32,21,26,23,44,38,39,20,56,23,378
Food poisoning - Persons affected,173,144,111,56,85,76,129,144,180,62,233,136,1529
Haemophilus influenzae type b infection (invasive),1,0,0,0,0,0,0,0,0,0,0,0,1
Hantavirus infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H2),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Variant Influenza A (H3N2),-,-,-,-,-,-,-,0,0,0,0,0,0
Influenza A - Influenza A (H5),0,0,0,0,0,1,0,0,0,0,0,0,1
Influenza A - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H9),0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese encephalitis,0,0,0,0,0,0,1,1,0,1,0,0,3
Legionnaires' disease,0,0,0,4,5,4,3,4,2,0,2,4,28
Leprosy,0,0,0,2,0,0,0,1,0,1,0,1,5
Leptospirosis,0,0,0,0,0,1,0,3,1,1,1,1,8
Listeriosis,1,3,1,3,5,3,3,2,0,1,3,1,26
Malaria,6,1,1,3,0,2,4,3,1,1,3,1,26
Measles,1,1,2,1,0,0,1,0,0,0,1,1,8
Meningococcal infection (invasive),0,1,2,0,0,0,0,1,0,0,0,0,4
Mumps,11,9,18,7,19,12,13,16,11,8,17,9,150
Paratyphoid fever,1,2,1,1,5,2,1,1,2,0,4,3,23
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,0,1,0,0,0,0,0,0,0,0,4,0,5
Q fever,0,0,0,0,0,1,0,0,0,0,0,0,1
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,5,7,2,7,9,2,1,1,4,1,1,4,44
Rubella and congenital rubella syndrome - Congenital rubella syndrome,1,2,0,0,0,0,0,0,0,0,0,0,3
Scarlet fever,171,211,219,124,123,159,102,45,36,65,131,114,1500
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Severe Respiratory Disease associated with Novel Coronavirus,-,-,-,-,-,-,-,-,0,0,0,0,0
Shiga toxin-producing Escherichia coli infection,0,1,0,0,4,2,1,0,0,0,0,0,8
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,1,0,0,0,1,1,0,1,0,2,0,1,7
Tetanus,0,0,1,0,0,0,0,1,1,0,0,0,3
Tuberculosis,334,380,387,391,445,459,505,449,387,396,410,315,4858
Typhoid fever,3,4,6,3,2,2,1,0,3,0,1,0,25
Typhus and other rickettsial diseases - Scrub typhus,0,1,2,0,1,7,3,4,1,2,0,2,23
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,0,0,0,1,0,1,1,3
Typhus and other rickettsial diseases - Spotted fever,2,0,0,0,0,1,1,2,1,0,2,1,10
Typhus and other rickettsial diseases - Unclassified,0,0,1,1,0,2,1,1,0,1,1,0,8
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,6,3,3,2,4,3,1,6,5,2,4,4,43
Viral hepatitis - B,6,5,2,3,3,4,5,5,5,5,3,1,47
Viral hepatitis - C,1,0,0,0,0,1,0,1,0,0,0,0,3
Viral hepatitis - E,9,35,28,10,18,10,9,4,1,6,9,11,150
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,3,0,1,0,4,2,4,2,3,0,0,1,20
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),1795,1422,1332,1067,1362,1526,1423,1142,989,1334,1889,1733,17014
