Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-12-01,2025/12/01,2025 December,Total,甲乙丙类传染病总计,7236052,2896,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2025-12-01,2025/12/01,2025 December,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2025-12-01,2025/12/01,2025 December,Cholera,霍乱,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2025-12-01,2025/12/01,2025 December,COVID-19,新型冠状病毒感染,15129,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D004,COVID-19,新型冠状病毒感染
2025-12-01,2025/12/01,2025 December,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2025-12-01,2025/12/01,2025 December,HIV/AIDS,艾滋病,4560,2027,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2025-12-01,2025/12/01,2025 December,Viral Hepatitis,病毒性肝炎,128222,585,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2025-12-01,2025/12/01,2025 December,Hepatitis A,甲型肝炎,1204,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2025-12-01,2025/12/01,2025 December,Hepatitis B,乙型肝炎,109580,39,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2025-12-01,2025/12/01,2025 December,Hepatitis C,丙型肝炎,14159,545,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2025-12-01,2025/12/01,2025 December,Hepatitis D,丁型肝炎,33,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
2025-12-01,2025/12/01,2025 December,Hepatitis E,戊型肝炎,2543,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D011,Hepatitis E,戊型肝炎
2025-12-01,2025/12/01,2025 December,Other Hepatitis,未分型肝炎,703,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D012,Other Hepatitis,未分型肝炎
2025-12-01,2025/12/01,2025 December,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D013,Poliomyelitis,脊髓灰质炎
2025-12-01,2025/12/01,2025 December,Novel Influenza,人感染新亚型流感,3,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D016,Novel Influenza,人感染新亚型流感
2025-12-01,2025/12/01,2025 December,Measles,麻疹,90,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D017,Measles,麻疹
2025-12-01,2025/12/01,2025 December,Hemorrhagic Fever,流行性出血热,617,6,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D018,Hemorrhagic Fever,流行性出血热
2025-12-01,2025/12/01,2025 December,Rabies,狂犬病,28,30,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D019,Rabies,狂犬病
2025-12-01,2025/12/01,2025 December,Japanese Encephalitis,流行性乙型脑炎,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D020,Japanese Encephalitis,流行性乙型脑炎
2025-12-01,2025/12/01,2025 December,Dengue,登革热,151,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D021,Dengue,登革热
2025-12-01,2025/12/01,2025 December,Monkeypox,猴痘,43,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D065,Monkeypox,猴痘
2025-12-01,2025/12/01,2025 December,Anthrax,炭疽,23,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D023,Anthrax,炭疽
2025-12-01,2025/12/01,2025 December,Dysentery,细菌性和阿米巴性痢疾,1509,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2009510384572469248.html,National Disease Control and Prevention Administration,D024,Dysentery,细菌性和阿米巴性痢疾
