Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2023-08-01,2023/08/01,2023 August,Cholera,霍乱,8.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D002,Cholera,霍乱
2023-08-01,2023/08/01,2023 August,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D002,Cholera,霍乱
2023-08-01,2023/08/01,2023 August,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D005,HIV/AIDS,艾滋病
2023-08-01,2023/08/01,2023 August,Viral Hepatitis,病毒性肝炎,,190.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2023-08-01,2023/08/01,2023 August,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D007,Hepatitis A,甲型肝炎
2023-08-01,2023/08/01,2023 August,Hepatitis B,乙型肝炎,,22.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D008,Hepatitis B,乙型肝炎
2023-08-01,2023/08/01,2023 August,Hepatitis C,丙型肝炎,,167.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D009,Hepatitis C,丙型肝炎
2023-08-01,2023/08/01,2023 August,Hepatitis D,丁型肝炎,21.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D010,Hepatitis D,丁型肝炎
2023-08-01,2023/08/01,2023 August,Hepatitis E,戊型肝炎,,1.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D011,Hepatitis E,戊型肝炎
2023-08-01,2023/08/01,2023 August,Poliomyelitis,脊髓灰质炎,767.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2023-08-01,2023/08/01,2023 August,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D013,Poliomyelitis,脊髓灰质炎
