Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-06-01,2025/06/01,2025 June,Total,甲乙丙类传染病总计,1015490,2313,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2025-06-01,2025/06/01,2025 June,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2025-06-01,2025/06/01,2025 June,Cholera,霍乱,2,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2025-06-01,2025/06/01,2025 June,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2025-06-01,2025/06/01,2025 June,HIV/AIDS,艾滋病,4783,1641,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2025-06-01,2025/06/01,2025 June,Viral Hepatitis,病毒性肝炎,126144,336,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2025-06-01,2025/06/01,2025 June,Hepatitis A,甲型肝炎,1803,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2025-06-01,2025/06/01,2025 June,Hepatitis B,乙型肝炎,105033,38,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2025-06-01,2025/06/01,2025 June,Hepatitis C,丙型肝炎,15898,297,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2025-06-01,2025/06/01,2025 June,Hepatitis D,丁型肝炎,19,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
2025-06-01,2025/06/01,2025 June,Hepatitis E,戊型肝炎,2820,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D011,Hepatitis E,戊型肝炎
2025-06-01,2025/06/01,2025 June,Other Hepatitis,未分型肝炎,571,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D012,Other Hepatitis,未分型肝炎
2025-06-01,2025/06/01,2025 June,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D013,Poliomyelitis,脊髓灰质炎
2025-06-01,2025/06/01,2025 June,H5N1,人感染高致病性禽流感,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D014,H5N1,人感染高致病性禽流感
2025-06-01,2025/06/01,2025 June,Measles,麻疹,156,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D017,Measles,麻疹
2025-06-01,2025/06/01,2025 June,Hemorrhagic Fever,流行性出血热,354,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D018,Hemorrhagic Fever,流行性出血热
2025-06-01,2025/06/01,2025 June,Rabies,狂犬病,23,20,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1941024811541499904.html,National Disease Control and Prevention Administration,D019,Rabies,狂犬病
