Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-09-01,2022/09/01,2022 September,Cholera,霍乱,4.0,0.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D002,Cholera,霍乱
2022-09-01,2022/09/01,2022 September,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D002,Cholera,霍乱
2022-09-01,2022/09/01,2022 September,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D005,HIV/AIDS,艾滋病
2022-09-01,2022/09/01,2022 September,Viral Hepatitis,病毒性肝炎,,72.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-09-01,2022/09/01,2022 September,Hepatitis A,甲型肝炎,945.0,1.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D007,Hepatitis A,甲型肝炎
2022-09-01,2022/09/01,2022 September,Hepatitis B,乙型肝炎,,35.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D008,Hepatitis B,乙型肝炎
2022-09-01,2022/09/01,2022 September,Hepatitis C,丙型肝炎,,35.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D009,Hepatitis C,丙型肝炎
2022-09-01,2022/09/01,2022 September,Hepatitis D,丁型肝炎,14.0,0.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D010,Hepatitis D,丁型肝炎
2022-09-01,2022/09/01,2022 September,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D011,Hepatitis E,戊型肝炎
2022-09-01,2022/09/01,2022 September,Poliomyelitis,脊髓灰质炎,590.0,1.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-09-01,2022/09/01,2022 September,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:36751374; pmc:PMC9897963; doi:10.46234/ccdcw2022.214,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897963/,PubMed,D013,Poliomyelitis,脊髓灰质炎
