Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-05-01,2022/05/01,2022 May,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D002,Cholera,霍乱
2022-05-01,2022/05/01,2022 May,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D002,Cholera,霍乱
2022-05-01,2022/05/01,2022 May,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D005,HIV/AIDS,艾滋病
2022-05-01,2022/05/01,2022 May,Viral Hepatitis,病毒性肝炎,,38.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-05-01,2022/05/01,2022 May,Hepatitis A,甲型肝炎,960.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D007,Hepatitis A,甲型肝炎
2022-05-01,2022/05/01,2022 May,Hepatitis B,乙型肝炎,,25.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D008,Hepatitis B,乙型肝炎
2022-05-01,2022/05/01,2022 May,Hepatitis C,丙型肝炎,,13.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D009,Hepatitis C,丙型肝炎
2022-05-01,2022/05/01,2022 May,Hepatitis D,丁型肝炎,21.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D010,Hepatitis D,丁型肝炎
2022-05-01,2022/05/01,2022 May,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D011,Hepatitis E,戊型肝炎
2022-05-01,2022/05/01,2022 May,Poliomyelitis,脊髓灰质炎,642.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-05-01,2022/05/01,2022 May,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-05-01,2022/05/01,2022 May,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D014,H5N1,人感染高致病性禽流感
2022-05-01,2022/05/01,2022 May,Measles,麻疹,110.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D017,Measles,麻疹
2022-05-01,2022/05/01,2022 May,Hemorrhagic Fever,流行性出血热,553.0,4.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2022-05-01,2022/05/01,2022 May,Rabies,狂犬病,6.0,8.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D019,Rabies,狂犬病
2022-05-01,2022/05/01,2022 May,Japanese Encephalitis,流行性乙型脑炎,0.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2022-05-01,2022/05/01,2022 May,Dengue,登革热,2.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D021,Dengue,登革热
2022-05-01,2022/05/01,2022 May,Anthrax,炭疽,19.0,0.0,-10,-10,全国,China,100000,pmid:35919824; pmc:PMC9339354; doi:10.46234/ccdcw2022.127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9339354/,PubMed,D023,Anthrax,炭疽
