Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2024-09-01,2024/09/01,2024 September,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D002,Cholera,霍乱
2024-09-01,2024/09/01,2024 September,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D002,Cholera,霍乱
2024-09-01,2024/09/01,2024 September,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D005,HIV/AIDS,艾滋病
2024-09-01,2024/09/01,2024 September,Viral Hepatitis,病毒性肝炎,,332.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2024-09-01,2024/09/01,2024 September,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D007,Hepatitis A,甲型肝炎
2024-09-01,2024/09/01,2024 September,Hepatitis B,乙型肝炎,,29.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D008,Hepatitis B,乙型肝炎
2024-09-01,2024/09/01,2024 September,Hepatitis C,丙型肝炎,,303.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D009,Hepatitis C,丙型肝炎
2024-09-01,2024/09/01,2024 September,Hepatitis D,丁型肝炎,7.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D010,Hepatitis D,丁型肝炎
2024-09-01,2024/09/01,2024 September,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D011,Hepatitis E,戊型肝炎
2024-09-01,2024/09/01,2024 September,Poliomyelitis,脊髓灰质炎,471.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2024-09-01,2024/09/01,2024 September,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2024-09-01,2024/09/01,2024 September,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D014,H5N1,人感染高致病性禽流感
2024-09-01,2024/09/01,2024 September,Measles,麻疹,118.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D017,Measles,麻疹
2024-09-01,2024/09/01,2024 September,Hemorrhagic Fever,流行性出血热,192.0,1.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2024-09-01,2024/09/01,2024 September,Rabies,狂犬病,17.0,12.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D019,Rabies,狂犬病
2024-09-01,2024/09/01,2024 September,Japanese Encephalitis,流行性乙型脑炎,71.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2024-09-01,2024/09/01,2024 September,Dengue,登革热,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D021,Dengue,登革热
2024-09-01,2024/09/01,2024 September,Anthrax,炭疽,90.0,1.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D023,Anthrax,炭疽
2024-09-01,2024/09/01,2024 September,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2024-09-01,2024/09/01,2024 September,Tuberculosis,肺结核,,247.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D025,Tuberculosis,肺结核
2024-09-01,2024/09/01,2024 September,Typhoid and Paratyphoid fever,伤寒和副伤寒,612.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2024-09-01,2024/09/01,2024 September,Meningococcal Meningitis,流行性脑脊髓膜炎,5.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2024-09-01,2024/09/01,2024 September,Pertussis,百日咳,,2.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D028,Pertussis,百日咳
2024-09-01,2024/09/01,2024 September,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D029,Diphtheria,白喉
2024-09-01,2024/09/01,2024 September,Neonatal Tetanus,新生儿破伤风,2.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2024-09-01,2024/09/01,2024 September,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D031,Scarlet fever,猩红热
2024-09-01,2024/09/01,2024 September,Brucellosis,布鲁氏菌病,,1.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D032,Brucellosis,布鲁氏菌病
2024-09-01,2024/09/01,2024 September,Gonorrhea,淋病,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D033,Gonorrhea,淋病
2024-09-01,2024/09/01,2024 September,Syphilis,梅毒,,3.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D034,Syphilis,梅毒
2024-09-01,2024/09/01,2024 September,Leptospirosis,钩端螺旋体病,128.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D035,Leptospirosis,钩端螺旋体病
2024-09-01,2024/09/01,2024 September,Schistosomiasis,血吸虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D036,Schistosomiasis,血吸虫病
2024-09-01,2024/09/01,2024 September,Malaria,疟疾,242.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D037,Malaria,疟疾
2024-09-01,2024/09/01,2024 September,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D015,H7N9,人感染H7N9禽流感
2024-09-01,2024/09/01,2024 September,SFTS,发热伴血小板减少综合征,46.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D057,SFTS,发热伴血小板减少综合征
2024-09-01,2024/09/01,2024 September,Influenza,流行性感冒,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D038,Influenza,流行性感冒
2024-09-01,2024/09/01,2024 September,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D039,Mumps,流行性腮腺炎
2024-09-01,2024/09/01,2024 September,Rubella,风疹,39.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D040,Rubella,风疹
2024-09-01,2024/09/01,2024 September,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2024-09-01,2024/09/01,2024 September,Leprosy,麻风病,10.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D042,Leprosy,麻风病
2024-09-01,2024/09/01,2024 September,Typhus,流行性和地方性斑疹伤寒,188.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2024-09-01,2024/09/01,2024 September,Kala-azar,黑热病,33.0,0.0,-10,-10,全国,China,100000,pmid:39734786; pmc:PMC11673182; doi:10.46234/ccdcw2024.266,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673182/,PubMed,D044,Kala-azar,黑热病
