Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2020-05-01,2020/05/01,2020 May,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D002,Cholera,霍乱
2020-05-01,2020/05/01,2020 May,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D002,Cholera,霍乱
2020-05-01,2020/05/01,2020 May,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D005,HIV/AIDS,艾滋病
2020-05-01,2020/05/01,2020 May,Viral Hepatitis,病毒性肝炎,,43.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2020-05-01,2020/05/01,2020 May,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D007,Hepatitis A,甲型肝炎
2020-05-01,2020/05/01,2020 May,Hepatitis B,乙型肝炎,,35.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D008,Hepatitis B,乙型肝炎
2020-05-01,2020/05/01,2020 May,Hepatitis C,丙型肝炎,,8.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D009,Hepatitis C,丙型肝炎
2020-05-01,2020/05/01,2020 May,Hepatitis D,丁型肝炎,11.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D010,Hepatitis D,丁型肝炎
2020-05-01,2020/05/01,2020 May,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D011,Hepatitis E,戊型肝炎
2020-05-01,2020/05/01,2020 May,Poliomyelitis,脊髓灰质炎,753.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2020-05-01,2020/05/01,2020 May,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2020-05-01,2020/05/01,2020 May,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D014,H5N1,人感染高致病性禽流感
2020-05-01,2020/05/01,2020 May,Measles,麻疹,74.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D017,Measles,麻疹
2020-05-01,2020/05/01,2020 May,Hemorrhagic Fever,流行性出血热,686.0,2.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2020-05-01,2020/05/01,2020 May,Rabies,狂犬病,14.0,9.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D019,Rabies,狂犬病
2020-05-01,2020/05/01,2020 May,Japanese Encephalitis,流行性乙型脑炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2020-05-01,2020/05/01,2020 May,Dengue,登革热,4.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D021,Dengue,登革热
2020-05-01,2020/05/01,2020 May,Anthrax,炭疽,16.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D023,Anthrax,炭疽
2020-05-01,2020/05/01,2020 May,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2020-05-01,2020/05/01,2020 May,Tuberculosis,肺结核,,123.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D025,Tuberculosis,肺结核
2020-05-01,2020/05/01,2020 May,Typhoid and Paratyphoid fever,伤寒和副伤寒,607.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
