Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-10-01,2025/10/01,2025 October,Total,甲乙丙类传染病总计,1191646,2054,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2025-10-01,2025/10/01,2025 October,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2025-10-01,2025/10/01,2025 October,Cholera,霍乱,3,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2025-10-01,2025/10/01,2025 October,COVID-19,新型冠状病毒感染,18704,3,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D004,COVID-19,新型冠状病毒感染
2025-10-01,2025/10/01,2025 October,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2025-10-01,2025/10/01,2025 October,HIV/AIDS,艾滋病,3749,1532,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2025-10-01,2025/10/01,2025 October,Viral Hepatitis,病毒性肝炎,116746,247,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2025-10-01,2025/10/01,2025 October,Hepatitis A,甲型肝炎,1036,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2025-10-01,2025/10/01,2025 October,Hepatitis B,乙型肝炎,99645,42,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2025-10-01,2025/10/01,2025 October,Hepatitis C,丙型肝炎,13170,205,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2025-10-01,2025/10/01,2025 October,Hepatitis D,丁型肝炎,16,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
2025-10-01,2025/10/01,2025 October,Hepatitis E,戊型肝炎,2333,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D011,Hepatitis E,戊型肝炎
2025-10-01,2025/10/01,2025 October,Other Hepatitis,未分型肝炎,546,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D012,Other Hepatitis,未分型肝炎
2025-10-01,2025/10/01,2025 October,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D013,Poliomyelitis,脊髓灰质炎
2025-10-01,2025/10/01,2025 October,Novel Influenza,人感染新亚型流感,5,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D016,Novel Influenza,人感染新亚型流感
2025-10-01,2025/10/01,2025 October,Measles,麻疹,65,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1986247921412509696.html,National Disease Control and Prevention Administration,D017,Measles,麻疹
