Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2020-07-01,2020/07/01,2020 July,Cholera,霍乱,3.0,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D002,Cholera,霍乱
2020-07-01,2020/07/01,2020 July,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D002,Cholera,霍乱
2020-07-01,2020/07/01,2020 July,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D005,HIV/AIDS,艾滋病
2020-07-01,2020/07/01,2020 July,Viral Hepatitis,病毒性肝炎,,56.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2020-07-01,2020/07/01,2020 July,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D007,Hepatitis A,甲型肝炎
2020-07-01,2020/07/01,2020 July,Hepatitis B,乙型肝炎,,46.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D008,Hepatitis B,乙型肝炎
2020-07-01,2020/07/01,2020 July,Hepatitis C,丙型肝炎,,8.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D009,Hepatitis C,丙型肝炎
2020-07-01,2020/07/01,2020 July,Hepatitis D,丁型肝炎,21.0,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D010,Hepatitis D,丁型肝炎
2020-07-01,2020/07/01,2020 July,Hepatitis E,戊型肝炎,,2.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D011,Hepatitis E,戊型肝炎
2020-07-01,2020/07/01,2020 July,Poliomyelitis,脊髓灰质炎,873.0,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2020-07-01,2020/07/01,2020 July,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34594740; pmc:PMC8393000; doi:10.46234/ccdcw2020.190,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393000/,PubMed,D013,Poliomyelitis,脊髓灰质炎
