Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-05-01,2025/05/01,2025 May,Total,甲乙丙类传染病总计,1077760,2043,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2025-05-01,2025/05/01,2025 May,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2025-05-01,2025/05/01,2025 May,Cholera,霍乱,2,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2025-05-01,2025/05/01,2025 May,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2025-05-01,2025/05/01,2025 May,HIV/AIDS,艾滋病,4240,1573,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2025-05-01,2025/05/01,2025 May,Viral Hepatitis,病毒性肝炎,130327,208,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2025-05-01,2025/05/01,2025 May,Hepatitis A,甲型肝炎,1862,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2025-05-01,2025/05/01,2025 May,Hepatitis B,乙型肝炎,108245,32,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2025-05-01,2025/05/01,2025 May,Hepatitis C,丙型肝炎,16525,176,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2025-05-01,2025/05/01,2025 May,Hepatitis D,丁型肝炎,20,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
2025-05-01,2025/05/01,2025 May,Hepatitis E,戊型肝炎,3089,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D011,Hepatitis E,戊型肝炎
2025-05-01,2025/05/01,2025 May,Other Hepatitis,未分型肝炎,586,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D012,Other Hepatitis,未分型肝炎
2025-05-01,2025/05/01,2025 May,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D013,Poliomyelitis,脊髓灰质炎
2025-05-01,2025/05/01,2025 May,H5N1,人感染高致病性禽流感,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D014,H5N1,人感染高致病性禽流感
2025-05-01,2025/05/01,2025 May,Measles,麻疹,200,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D017,Measles,麻疹
2025-05-01,2025/05/01,2025 May,Hemorrhagic Fever,流行性出血热,268,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D018,Hemorrhagic Fever,流行性出血热
2025-05-01,2025/05/01,2025 May,Rabies,狂犬病,19,18,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D019,Rabies,狂犬病
2025-05-01,2025/05/01,2025 May,Japanese Encephalitis,流行性乙型脑炎,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D020,Japanese Encephalitis,流行性乙型脑炎
2025-05-01,2025/05/01,2025 May,Dengue,登革热,126,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D021,Dengue,登革热
2025-05-01,2025/05/01,2025 May,Anthrax,炭疽,23,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D023,Anthrax,炭疽
2025-05-01,2025/05/01,2025 May,Dysentery,细菌性和阿米巴性痢疾,2978,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D024,Dysentery,细菌性和阿米巴性痢疾
2025-05-01,2025/05/01,2025 May,Tuberculosis,肺结核,55165,228,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D025,Tuberculosis,肺结核
2025-05-01,2025/05/01,2025 May,Typhoid and Paratyphoid fever,伤寒和副伤寒,459,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2025-05-01,2025/05/01,2025 May,Meningococcal Meningitis,流行性脑脊髓膜炎,14,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2025-05-01,2025/05/01,2025 May,Pertussis,百日咳,4260,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D028,Pertussis,百日咳
2025-05-01,2025/05/01,2025 May,Diphtheria,白喉,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D029,Diphtheria,白喉
2025-05-01,2025/05/01,2025 May,Neonatal Tetanus,新生儿破伤风,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D030,Neonatal Tetanus,新生儿破伤风
2025-05-01,2025/05/01,2025 May,Scarlet fever,猩红热,7844,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D031,Scarlet fever,猩红热
2025-05-01,2025/05/01,2025 May,Brucellosis,布鲁氏菌病,6982,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1930458943493410816.html,National Disease Control and Prevention Administration,D032,Brucellosis,布鲁氏菌病
