Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2024-08-01,2024/08/01,2024 August,Cholera,霍乱,4.0,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D002,Cholera,霍乱
2024-08-01,2024/08/01,2024 August,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D002,Cholera,霍乱
2024-08-01,2024/08/01,2024 August,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D005,HIV/AIDS,艾滋病
2024-08-01,2024/08/01,2024 August,Viral Hepatitis,病毒性肝炎,,438.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2024-08-01,2024/08/01,2024 August,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D007,Hepatitis A,甲型肝炎
2024-08-01,2024/08/01,2024 August,Hepatitis B,乙型肝炎,,42.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D008,Hepatitis B,乙型肝炎
2024-08-01,2024/08/01,2024 August,Hepatitis C,丙型肝炎,,395.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D009,Hepatitis C,丙型肝炎
2024-08-01,2024/08/01,2024 August,Hepatitis D,丁型肝炎,24.0,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D010,Hepatitis D,丁型肝炎
2024-08-01,2024/08/01,2024 August,Hepatitis E,戊型肝炎,,1.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D011,Hepatitis E,戊型肝炎
2024-08-01,2024/08/01,2024 August,Poliomyelitis,脊髓灰质炎,522.0,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2024-08-01,2024/08/01,2024 August,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:39507566; pmc:PMC11534578; doi:10.46234/ccdcw2024.230,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534578/,PubMed,D013,Poliomyelitis,脊髓灰质炎
