Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-01-01,2022/01/01,2022 January,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D002,Cholera,霍乱
2022-01-01,2022/01/01,2022 January,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D002,Cholera,霍乱
2022-01-01,2022/01/01,2022 January,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D005,HIV/AIDS,艾滋病
2022-01-01,2022/01/01,2022 January,Viral Hepatitis,病毒性肝炎,,54.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-01-01,2022/01/01,2022 January,Hepatitis A,甲型肝炎,956.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D007,Hepatitis A,甲型肝炎
2022-01-01,2022/01/01,2022 January,Hepatitis B,乙型肝炎,,38.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D008,Hepatitis B,乙型肝炎
2022-01-01,2022/01/01,2022 January,Hepatitis C,丙型肝炎,,14.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D009,Hepatitis C,丙型肝炎
2022-01-01,2022/01/01,2022 January,Hepatitis D,丁型肝炎,27.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D010,Hepatitis D,丁型肝炎
2022-01-01,2022/01/01,2022 January,Hepatitis E,戊型肝炎,,2.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D011,Hepatitis E,戊型肝炎
2022-01-01,2022/01/01,2022 January,Poliomyelitis,脊髓灰质炎,682.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-01-01,2022/01/01,2022 January,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-01-01,2022/01/01,2022 January,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D014,H5N1,人感染高致病性禽流感
2022-01-01,2022/01/01,2022 January,Measles,麻疹,40.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D017,Measles,麻疹
2022-01-01,2022/01/01,2022 January,Hemorrhagic Fever,流行性出血热,781.0,6.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2022-01-01,2022/01/01,2022 January,Rabies,狂犬病,13.0,14.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D019,Rabies,狂犬病
2022-01-01,2022/01/01,2022 January,Japanese Encephalitis,流行性乙型脑炎,9.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2022-01-01,2022/01/01,2022 January,Dengue,登革热,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D021,Dengue,登革热
2022-01-01,2022/01/01,2022 January,Anthrax,炭疽,10.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D023,Anthrax,炭疽
2022-01-01,2022/01/01,2022 January,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
