Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2020-09-01,2020/09/01,2020 September,Cholera,霍乱,2.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D002,Cholera,霍乱
2020-09-01,2020/09/01,2020 September,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D002,Cholera,霍乱
2020-09-01,2020/09/01,2020 September,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D005,HIV/AIDS,艾滋病
2020-09-01,2020/09/01,2020 September,Viral Hepatitis,病毒性肝炎,,69.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2020-09-01,2020/09/01,2020 September,Hepatitis A,甲型肝炎,,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D007,Hepatitis A,甲型肝炎
2020-09-01,2020/09/01,2020 September,Hepatitis B,乙型肝炎,,53.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D008,Hepatitis B,乙型肝炎
2020-09-01,2020/09/01,2020 September,Hepatitis C,丙型肝炎,,13.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D009,Hepatitis C,丙型肝炎
2020-09-01,2020/09/01,2020 September,Hepatitis D,丁型肝炎,25.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D010,Hepatitis D,丁型肝炎
2020-09-01,2020/09/01,2020 September,Hepatitis E,戊型肝炎,,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D011,Hepatitis E,戊型肝炎
2020-09-01,2020/09/01,2020 September,Poliomyelitis,脊髓灰质炎,844.0,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2020-09-01,2020/09/01,2020 September,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2020-09-01,2020/09/01,2020 September,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D014,H5N1,人感染高致病性禽流感
2020-09-01,2020/09/01,2020 September,Measles,麻疹,111.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D017,Measles,麻疹
2020-09-01,2020/09/01,2020 September,Hemorrhagic Fever,流行性出血热,320.0,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2020-09-01,2020/09/01,2020 September,Rabies,狂犬病,15.0,13.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D019,Rabies,狂犬病
2020-09-01,2020/09/01,2020 September,Japanese Encephalitis,流行性乙型脑炎,137.0,3.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2020-09-01,2020/09/01,2020 September,Dengue,登革热,247.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D021,Dengue,登革热
2020-09-01,2020/09/01,2020 September,Anthrax,炭疽,36.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D023,Anthrax,炭疽
2020-09-01,2020/09/01,2020 September,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2020-09-01,2020/09/01,2020 September,Tuberculosis,肺结核,,175.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D025,Tuberculosis,肺结核
2020-09-01,2020/09/01,2020 September,Typhoid and Paratyphoid fever,伤寒和副伤寒,848.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2020-09-01,2020/09/01,2020 September,Meningococcal Meningitis,流行性脑脊髓膜炎,3.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2020-09-01,2020/09/01,2020 September,Pertussis,百日咳,201.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D028,Pertussis,百日咳
2020-09-01,2020/09/01,2020 September,Diphtheria,白喉,1.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D029,Diphtheria,白喉
2020-09-01,2020/09/01,2020 September,Neonatal Tetanus,新生儿破伤风,4.0,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2020-09-01,2020/09/01,2020 September,Scarlet fever,猩红热,877.0,1.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D031,Scarlet fever,猩红热
2020-09-01,2020/09/01,2020 September,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D032,Brucellosis,布鲁氏菌病
2020-09-01,2020/09/01,2020 September,Gonorrhea,淋病,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D033,Gonorrhea,淋病
2020-09-01,2020/09/01,2020 September,Syphilis,梅毒,,6.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D034,Syphilis,梅毒
2020-09-01,2020/09/01,2020 September,Leptospirosis,钩端螺旋体病,110.0,3.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D035,Leptospirosis,钩端螺旋体病
2020-09-01,2020/09/01,2020 September,Schistosomiasis,血吸虫病,4.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D036,Schistosomiasis,血吸虫病
2020-09-01,2020/09/01,2020 September,Malaria,疟疾,81.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D037,Malaria,疟疾
2020-09-01,2020/09/01,2020 September,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D015,H7N9,人感染H7N9禽流感
2020-09-01,2020/09/01,2020 September,COVID-19,新型冠状病毒感染,356.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D004,COVID-19,新型冠状病毒感染
2020-09-01,2020/09/01,2020 September,Influenza,流行性感冒,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D038,Influenza,流行性感冒
2020-09-01,2020/09/01,2020 September,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D039,Mumps,流行性腮腺炎
2020-09-01,2020/09/01,2020 September,Rubella,风疹,102.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D040,Rubella,风疹
2020-09-01,2020/09/01,2020 September,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2020-09-01,2020/09/01,2020 September,Leprosy,麻风病,35.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D042,Leprosy,麻风病
2020-09-01,2020/09/01,2020 September,Typhus,流行性和地方性斑疹伤寒,184.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2020-09-01,2020/09/01,2020 September,Kala-azar,黑热病,17.0,0.0,-10,-10,全国,China,100000,pmid:34594782; pmc:PMC8393134; doi:10.46234/ccdcw2020.226,https://pmc.ncbi.nlm.nih.gov/articles/PMC8393134/,PubMed,D044,Kala-azar,黑热病
