Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-03-01,2022/03/01,2022 March,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D002,Cholera,霍乱
2022-03-01,2022/03/01,2022 March,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D002,Cholera,霍乱
2022-03-01,2022/03/01,2022 March,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D005,HIV/AIDS,艾滋病
2022-03-01,2022/03/01,2022 March,Viral Hepatitis,病毒性肝炎,,47.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-03-01,2022/03/01,2022 March,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D007,Hepatitis A,甲型肝炎
2022-03-01,2022/03/01,2022 March,Hepatitis B,乙型肝炎,,38.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D008,Hepatitis B,乙型肝炎
2022-03-01,2022/03/01,2022 March,Hepatitis C,丙型肝炎,,9.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D009,Hepatitis C,丙型肝炎
2022-03-01,2022/03/01,2022 March,Hepatitis D,丁型肝炎,23.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D010,Hepatitis D,丁型肝炎
2022-03-01,2022/03/01,2022 March,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D011,Hepatitis E,戊型肝炎
2022-03-01,2022/03/01,2022 March,Poliomyelitis,脊髓灰质炎,645.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-03-01,2022/03/01,2022 March,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-03-01,2022/03/01,2022 March,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D014,H5N1,人感染高致病性禽流感
2022-03-01,2022/03/01,2022 March,Measles,麻疹,71.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D017,Measles,麻疹
2022-03-01,2022/03/01,2022 March,Hemorrhagic Fever,流行性出血热,344.0,2.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2022-03-01,2022/03/01,2022 March,Rabies,狂犬病,8.0,6.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D019,Rabies,狂犬病
2022-03-01,2022/03/01,2022 March,Japanese Encephalitis,流行性乙型脑炎,2.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2022-03-01,2022/03/01,2022 March,Dengue,登革热,2.0,0.0,-10,-10,全国,China,100000,pmid:35812698; pmc:PMC9257689; doi:10.46234/ccdcw2022.082,https://pmc.ncbi.nlm.nih.gov/articles/PMC9257689/,PubMed,D021,Dengue,登革热
