Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-10-01,2022/10/01,2022 October,Cholera,霍乱,3.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D002,Cholera,霍乱
2022-10-01,2022/10/01,2022 October,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D002,Cholera,霍乱
2022-10-01,2022/10/01,2022 October,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D005,HIV/AIDS,艾滋病
2022-10-01,2022/10/01,2022 October,Viral Hepatitis,病毒性肝炎,,71.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-10-01,2022/10/01,2022 October,Hepatitis A,甲型肝炎,752.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D007,Hepatitis A,甲型肝炎
2022-10-01,2022/10/01,2022 October,Hepatitis B,乙型肝炎,,33.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D008,Hepatitis B,乙型肝炎
2022-10-01,2022/10/01,2022 October,Hepatitis C,丙型肝炎,,36.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D009,Hepatitis C,丙型肝炎
2022-10-01,2022/10/01,2022 October,Hepatitis D,丁型肝炎,10.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D010,Hepatitis D,丁型肝炎
2022-10-01,2022/10/01,2022 October,Hepatitis E,戊型肝炎,,2.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D011,Hepatitis E,戊型肝炎
2022-10-01,2022/10/01,2022 October,Poliomyelitis,脊髓灰质炎,540.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-10-01,2022/10/01,2022 October,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-10-01,2022/10/01,2022 October,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D014,H5N1,人感染高致病性禽流感
