Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2024-07-01,2024/07/01,2024 July,Cholera,霍乱,5.0,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D002,Cholera,霍乱
2024-07-01,2024/07/01,2024 July,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D002,Cholera,霍乱
2024-07-01,2024/07/01,2024 July,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D005,HIV/AIDS,艾滋病
2024-07-01,2024/07/01,2024 July,Viral Hepatitis,病毒性肝炎,,330.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2024-07-01,2024/07/01,2024 July,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D007,Hepatitis A,甲型肝炎
2024-07-01,2024/07/01,2024 July,Hepatitis B,乙型肝炎,,24.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D008,Hepatitis B,乙型肝炎
2024-07-01,2024/07/01,2024 July,Hepatitis C,丙型肝炎,,305.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D009,Hepatitis C,丙型肝炎
2024-07-01,2024/07/01,2024 July,Hepatitis D,丁型肝炎,23.0,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D010,Hepatitis D,丁型肝炎
2024-07-01,2024/07/01,2024 July,Hepatitis E,戊型肝炎,,1.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D011,Hepatitis E,戊型肝炎
2024-07-01,2024/07/01,2024 July,Poliomyelitis,脊髓灰质炎,587.0,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2024-07-01,2024/07/01,2024 July,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:39345839; pmc:PMC11427328; doi:10.46234/ccdcw2024.206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427328/,PubMed,D013,Poliomyelitis,脊髓灰质炎
