Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-07-01,2022/07/01,2022 July,Cholera,霍乱,10.0,0.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D002,Cholera,霍乱
2022-07-01,2022/07/01,2022 July,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D002,Cholera,霍乱
2022-07-01,2022/07/01,2022 July,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D005,HIV/AIDS,艾滋病
2022-07-01,2022/07/01,2022 July,Viral Hepatitis,病毒性肝炎,,43.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-07-01,2022/07/01,2022 July,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D007,Hepatitis A,甲型肝炎
2022-07-01,2022/07/01,2022 July,Hepatitis B,乙型肝炎,,23.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D008,Hepatitis B,乙型肝炎
2022-07-01,2022/07/01,2022 July,Hepatitis C,丙型肝炎,,18.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D009,Hepatitis C,丙型肝炎
2022-07-01,2022/07/01,2022 July,Hepatitis D,丁型肝炎,16.0,0.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D010,Hepatitis D,丁型肝炎
2022-07-01,2022/07/01,2022 July,Hepatitis E,戊型肝炎,,1.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D011,Hepatitis E,戊型肝炎
2022-07-01,2022/07/01,2022 July,Poliomyelitis,脊髓灰质炎,624.0,1.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-07-01,2022/07/01,2022 July,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:36483792; pmc:PMC9713578; doi:10.46234/ccdcw2022.158,https://pmc.ncbi.nlm.nih.gov/articles/PMC9713578/,PubMed,D013,Poliomyelitis,脊髓灰质炎
