Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2021-10-01,2021/10/01,2021 October,Cholera,霍乱,2.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D002,Cholera,霍乱
2021-10-01,2021/10/01,2021 October,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D002,Cholera,霍乱
2021-10-01,2021/10/01,2021 October,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D005,HIV/AIDS,艾滋病
2021-10-01,2021/10/01,2021 October,Viral Hepatitis,病毒性肝炎,,43.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2021-10-01,2021/10/01,2021 October,Hepatitis A,甲型肝炎,940.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D007,Hepatitis A,甲型肝炎
2021-10-01,2021/10/01,2021 October,Hepatitis B,乙型肝炎,,33.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D008,Hepatitis B,乙型肝炎
2021-10-01,2021/10/01,2021 October,Hepatitis C,丙型肝炎,,10.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D009,Hepatitis C,丙型肝炎
2021-10-01,2021/10/01,2021 October,Hepatitis D,丁型肝炎,24.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D010,Hepatitis D,丁型肝炎
2021-10-01,2021/10/01,2021 October,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D011,Hepatitis E,戊型肝炎
2021-10-01,2021/10/01,2021 October,Poliomyelitis,脊髓灰质炎,755.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2021-10-01,2021/10/01,2021 October,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2021-10-01,2021/10/01,2021 October,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D014,H5N1,人感染高致病性禽流感
2021-10-01,2021/10/01,2021 October,Measles,麻疹,88.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D017,Measles,麻疹
2021-10-01,2021/10/01,2021 October,Hemorrhagic Fever,流行性出血热,678.0,5.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2021-10-01,2021/10/01,2021 October,Rabies,狂犬病,19.0,10.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D019,Rabies,狂犬病
2021-10-01,2021/10/01,2021 October,Japanese Encephalitis,流行性乙型脑炎,39.0,1.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2021-10-01,2021/10/01,2021 October,Dengue,登革热,6.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D021,Dengue,登革热
2021-10-01,2021/10/01,2021 October,Anthrax,炭疽,38.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D023,Anthrax,炭疽
2021-10-01,2021/10/01,2021 October,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2021-10-01,2021/10/01,2021 October,Tuberculosis,肺结核,,126.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D025,Tuberculosis,肺结核
2021-10-01,2021/10/01,2021 October,Typhoid and Paratyphoid fever,伤寒和副伤寒,655.0,1.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2021-10-01,2021/10/01,2021 October,Meningococcal Meningitis,流行性脑脊髓膜炎,7.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2021-10-01,2021/10/01,2021 October,Pertussis,百日咳,825.0,0.0,-10,-10,全国,China,100000,pmid:34938589; pmc:PMC8688750; doi:10.46234/ccdcw2021.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC8688750/,PubMed,D028,Pertussis,百日咳
