Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2021-06-01,2021/06/01,2021 June,Cholera,霍乱,3.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D002,Cholera,霍乱
2021-06-01,2021/06/01,2021 June,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D002,Cholera,霍乱
2021-06-01,2021/06/01,2021 June,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D005,HIV/AIDS,艾滋病
2021-06-01,2021/06/01,2021 June,Viral Hepatitis,病毒性肝炎,,46.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2021-06-01,2021/06/01,2021 June,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D007,Hepatitis A,甲型肝炎
2021-06-01,2021/06/01,2021 June,Hepatitis B,乙型肝炎,,39.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D008,Hepatitis B,乙型肝炎
2021-06-01,2021/06/01,2021 June,Hepatitis C,丙型肝炎,,7.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D009,Hepatitis C,丙型肝炎
2021-06-01,2021/06/01,2021 June,Hepatitis D,丁型肝炎,23.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D010,Hepatitis D,丁型肝炎
2021-06-01,2021/06/01,2021 June,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D011,Hepatitis E,戊型肝炎
2021-06-01,2021/06/01,2021 June,Poliomyelitis,脊髓灰质炎,733.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2021-06-01,2021/06/01,2021 June,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D013,Poliomyelitis,脊髓灰质炎
