Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-06-01,2022/06/01,2022 June,Cholera,霍乱,6.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D002,Cholera,霍乱
2022-06-01,2022/06/01,2022 June,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D002,Cholera,霍乱
2022-06-01,2022/06/01,2022 June,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D005,HIV/AIDS,艾滋病
2022-06-01,2022/06/01,2022 June,Viral Hepatitis,病毒性肝炎,,51.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2022-06-01,2022/06/01,2022 June,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D007,Hepatitis A,甲型肝炎
2022-06-01,2022/06/01,2022 June,Hepatitis B,乙型肝炎,,35.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D008,Hepatitis B,乙型肝炎
2022-06-01,2022/06/01,2022 June,Hepatitis C,丙型肝炎,,15.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D009,Hepatitis C,丙型肝炎
2022-06-01,2022/06/01,2022 June,Hepatitis D,丁型肝炎,22.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D010,Hepatitis D,丁型肝炎
2022-06-01,2022/06/01,2022 June,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D011,Hepatitis E,戊型肝炎
2022-06-01,2022/06/01,2022 June,Poliomyelitis,脊髓灰质炎,615.0,1.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-06-01,2022/06/01,2022 June,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2022-06-01,2022/06/01,2022 June,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D014,H5N1,人感染高致病性禽流感
2022-06-01,2022/06/01,2022 June,Measles,麻疹,110.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D017,Measles,麻疹
2022-06-01,2022/06/01,2022 June,Hemorrhagic Fever,流行性出血热,566.0,6.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2022-06-01,2022/06/01,2022 June,Rabies,狂犬病,15.0,6.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D019,Rabies,狂犬病
2022-06-01,2022/06/01,2022 June,Japanese Encephalitis,流行性乙型脑炎,7.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2022-06-01,2022/06/01,2022 June,Dengue,登革热,1.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D021,Dengue,登革热
2022-06-01,2022/06/01,2022 June,Anthrax,炭疽,29.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D023,Anthrax,炭疽
2022-06-01,2022/06/01,2022 June,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2022-06-01,2022/06/01,2022 June,Tuberculosis,肺结核,,345.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D025,Tuberculosis,肺结核
2022-06-01,2022/06/01,2022 June,Typhoid and Paratyphoid fever,伤寒和副伤寒,700.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2022-06-01,2022/06/01,2022 June,Meningococcal Meningitis,流行性脑脊髓膜炎,6.0,1.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2022-06-01,2022/06/01,2022 June,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D028,Pertussis,百日咳
2022-06-01,2022/06/01,2022 June,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D029,Diphtheria,白喉
2022-06-01,2022/06/01,2022 June,Neonatal Tetanus,新生儿破伤风,0.0,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2022-06-01,2022/06/01,2022 June,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D031,Scarlet fever,猩红热
2022-06-01,2022/06/01,2022 June,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:36285281; pmc:PMC9547732; doi:10.46234/ccdcw2022.157,https://pmc.ncbi.nlm.nih.gov/articles/PMC9547732/,PubMed,D032,Brucellosis,布鲁氏菌病
