Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-11-01,2025/11/01,2025 November,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D002,Cholera,霍乱
2025-11-01,2025/11/01,2025 November,COVID-19,新型冠状病毒感染,,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D004,COVID-19,新型冠状病毒感染
2025-11-01,2025/11/01,2025 November,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D002,Cholera,霍乱
2025-11-01,2025/11/01,2025 November,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D005,HIV/AIDS,艾滋病
2025-11-01,2025/11/01,2025 November,Viral Hepatitis,病毒性肝炎,,299.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2025-11-01,2025/11/01,2025 November,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D007,Hepatitis A,甲型肝炎
2025-11-01,2025/11/01,2025 November,Hepatitis B,乙型肝炎,,42.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D008,Hepatitis B,乙型肝炎
2025-11-01,2025/11/01,2025 November,Hepatitis C,丙型肝炎,,256.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D009,Hepatitis C,丙型肝炎
2025-11-01,2025/11/01,2025 November,Hepatitis D,丁型肝炎,30.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D010,Hepatitis D,丁型肝炎
2025-11-01,2025/11/01,2025 November,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D011,Hepatitis E,戊型肝炎
2025-11-01,2025/11/01,2025 November,Poliomyelitis,脊髓灰质炎,559.0,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-11-01,2025/11/01,2025 November,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-11-01,2025/11/01,2025 November,Novel Influenza,人感染新亚型流感,4.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D016,Novel Influenza,人感染新亚型流感
2025-11-01,2025/11/01,2025 November,Measles,麻疹,75.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D017,Measles,麻疹
2025-11-01,2025/11/01,2025 November,Hemorrhagic Fever,流行性出血热,540.0,5.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2025-11-01,2025/11/01,2025 November,Rabies,狂犬病,25.0,18.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D019,Rabies,狂犬病
2025-11-01,2025/11/01,2025 November,Japanese Encephalitis,流行性乙型脑炎,5.0,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2025-11-01,2025/11/01,2025 November,Dengue,登革热,849.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D021,Dengue,登革热
2025-11-01,2025/11/01,2025 November,SFTS,发热伴血小板减少综合征,65.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D057,SFTS,发热伴血小板减少综合征
2025-11-01,2025/11/01,2025 November,Anthrax,炭疽,30.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D023,Anthrax,炭疽
2025-11-01,2025/11/01,2025 November,Dysentery,细菌性和阿米巴性痢疾,,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2025-11-01,2025/11/01,2025 November,Tuberculosis,肺结核,,234.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D025,Tuberculosis,肺结核
2025-11-01,2025/11/01,2025 November,Typhoid and Paratyphoid fever,伤寒和副伤寒,390.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2025-11-01,2025/11/01,2025 November,Meningococcal Meningitis,流行性脑脊髓膜炎,15.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2025-11-01,2025/11/01,2025 November,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D028,Pertussis,百日咳
2025-11-01,2025/11/01,2025 November,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D029,Diphtheria,白喉
2025-11-01,2025/11/01,2025 November,Neonatal Tetanus,新生儿破伤风,1.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2025-11-01,2025/11/01,2025 November,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D031,Scarlet fever,猩红热
2025-11-01,2025/11/01,2025 November,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D032,Brucellosis,布鲁氏菌病
2025-11-01,2025/11/01,2025 November,Gonorrhea,淋病,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D033,Gonorrhea,淋病
2025-11-01,2025/11/01,2025 November,Syphilis,梅毒,,5.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D034,Syphilis,梅毒
2025-11-01,2025/11/01,2025 November,Leptospirosis,钩端螺旋体病,38.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D035,Leptospirosis,钩端螺旋体病
2025-11-01,2025/11/01,2025 November,Schistosomiasis,血吸虫病,1.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D036,Schistosomiasis,血吸虫病
2025-11-01,2025/11/01,2025 November,Malaria,疟疾,312.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D037,Malaria,疟疾
2025-11-01,2025/11/01,2025 November,Influenza,流行性感冒,,4.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D038,Influenza,流行性感冒
2025-11-01,2025/11/01,2025 November,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D039,Mumps,流行性腮腺炎
2025-11-01,2025/11/01,2025 November,Rubella,风疹,48.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D040,Rubella,风疹
2025-11-01,2025/11/01,2025 November,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2025-11-01,2025/11/01,2025 November,Leprosy,麻风病,12.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D042,Leprosy,麻风病
2025-11-01,2025/11/01,2025 November,Typhus,流行性和地方性斑疹伤寒,154.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2025-11-01,2025/11/01,2025 November,Kala-azar,黑热病,32.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D044,Kala-azar,黑热病
2025-11-01,2025/11/01,2025 November,Echinococcosis,包虫病,315.0,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D045,Echinococcosis,包虫病
2025-11-01,2025/11/01,2025 November,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D046,Filariasis,丝虫病
2025-11-01,2025/11/01,2025 November,Hand-Foot-Mouth Disease,手足口病,,1.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2025-11-01,2025/11/01,2025 November,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2025-11-01,2025/11/01,2025 November,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:41541889; pmc:PMC12801041; doi:10.46234/ccdcw2025.275,https://pmc.ncbi.nlm.nih.gov/articles/PMC12801041/,PubMed,D999,Total,甲乙丙类传染病总计
