Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,1,0,1,1,0,0,0,0,1,0,0,4
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,4,1,2,4,2,4,10,10,8,8,9,4,66
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickenpox,1101,765,746,658,859,1056,1042,599,517,926,1316,1341,10926
Chikungunya fever,0,1,0,1,1,0,1,0,0,0,1,0,5
Cholera,0,0,0,0,0,0,0,0,0,2,0,0,2
Community-associated methicillin-resistant Staphylococcus aureus infection,80,68,70,57,103,84,102,95,95,79,79,78,990
Creutzfeldt-Jakob disease,0,1,0,0,0,1,1,0,1,0,1,0,5
Dengue fever,12,4,4,6,7,7,11,18,12,3,15,4,103
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,0,0,0,2,2,0,2,0,1,5,0,0,12
Food poisoning - Outbreaks,30,37,22,33,25,24,21,47,15,24,18,20,316
Food poisoning - Persons affected,99,146,67,99,84,82,68,216,43,70,84,118,1176
Haemophilus influenzae type b infection (invasive),0,0,0,1,1,0,0,1,0,0,0,0,3
Hantavirus infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H2),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Variant Influenza A (H3N2),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza A - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,2,2
Influenza A - Influenza A (H9),0,0,0,0,0,0,0,0,0,0,0,1,1
Japanese encephalitis,0,0,0,0,0,0,2,0,1,1,2,0,6
Legionnaires' disease,1,0,0,5,1,1,2,3,6,6,2,1,28
Leprosy,0,1,0,0,0,1,2,1,0,0,0,0,5
Leptospirosis,0,0,0,0,1,0,0,1,0,0,0,0,2
Listeriosis,3,2,1,3,2,1,3,5,1,3,1,1,26
Malaria,1,2,1,2,0,1,5,1,3,3,1,0,20
Measles,1,1,2,2,3,4,3,1,3,6,7,5,38
Meningococcal infection (invasive),0,0,0,0,0,0,1,2,0,0,0,0,3
Middle East Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumps,15,9,6,17,11,8,5,6,10,11,14,15,127
Paratyphoid fever,2,0,1,2,5,3,1,3,2,3,1,0,23
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,1,0,0,1,0,0,0,0,0,0,0,0,2
Q fever,0,0,0,0,0,0,1,0,0,0,0,0,1
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,3,3,4,2,3,2,2,0,0,3,1,2,25
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,124,68,123,71,108,101,72,33,58,75,104,163,1100
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiga toxin-producing Escherichia coli infection,0,0,0,0,1,0,0,0,0,1,0,0,2
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,0,1,1,1,1,2,0,0,2,0,0,0,8
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,364,305,366,414,445,385,428,425,422,410,353,347,4664
Typhoid fever,3,1,0,12,4,2,1,3,3,2,1,1,33
Typhus and other rickettsial diseases - Scrub typhus,2,2,6,0,0,5,4,1,3,3,2,0,28
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,1,0,0,0,0,0,0,1
Typhus and other rickettsial diseases - Spotted fever,0,0,2,1,5,0,3,3,4,1,1,2,22
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,1,1,1,0,0,1,2,0,6
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,2,4,6,3,5,2,5,0,4,3,4,6,44
Viral hepatitis - B,9,0,2,4,5,4,1,5,4,1,4,1,40
Viral hepatitis - C,1,0,1,0,0,0,0,0,4,3,0,1,10
Viral hepatitis - E,7,15,9,11,4,2,7,3,7,9,7,9,90
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,3,8,0,0,1,2,2,1,3,0,0,0,20
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),1769,1300,1375,1314,1607,1704,1741,1267,1189,1593,1946,2004,18809
