Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,0,0,1,1,4,4,0,3,3,2,0,0,18
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic Dysentery,0,0,0,1,0,0,0,0,0,1,1,0,3
Bacillary Dysentery,23,13,28,39,24,15,33,33,20,22,16,23,289
Chickenpox,-,824,1625,1137,1322,1652,1365,537,339,479,810,800,10890
Dengue Fever,0,0,1,0,0,1,2,0,0,0,1,0,5
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,25,22,54,22,31,85,55,72,62,50,35,25,538
Food Poisoning - Persons affected,208,69,264,71,93,378,326,278,312,582,162,75,2818
Legionnaires' Disease,0,0,0,0,0,1,0,0,0,0,0,0,1
Leprosy,0,1,0,3,2,0,1,1,1,1,4,0,14
Malaria,6,2,2,4,4,4,7,9,7,4,2,4,55
Measles,3,3,4,6,8,0,3,1,0,1,1,2,32
Meningococcal Infections,1,0,0,1,1,0,0,0,0,0,0,0,3
Mumps,2,8,4,4,7,8,3,3,13,3,5,3,63
Paratyphoid Fever,0,1,1,0,1,3,1,1,2,1,0,2,13
Rabies(Human),0,0,0,0,0,0,1,0,0,0,0,0,1
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,3,4,9,4,7,4,7,1,2,3,5,3,52
Scarlet Fever,6,13,7,5,23,22,9,12,4,7,7,11,126
Tetanus,1,0,0,0,1,1,1,0,1,0,1,1,7
Tuberculosis,578,507,549,665,688,680,734,618,593,682,643,575,7512
Typhoid Fever,6,3,6,4,8,9,12,7,7,4,3,3,72
Typhus Fever,1,0,1,0,1,0,3,6,6,5,1,2,26
Viral Hepatitis - A,72,72,57,38,54,27,16,17,16,12,13,32,426
Viral Hepatitis - B,15,13,24,7,14,6,8,12,10,15,20,8,152
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis - E,1,0,1,3,2,0,0,1,0,0,0,0,8
Viral Hepatitis - Unclassified,6,1,6,4,0,1,1,5,2,2,2,1,31
Whooping Cough,0,0,2,1,1,1,0,0,0,0,0,0,5
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),749,1487,2382,1949,2203,2524,2262,1339,1088,1294,1570,1495,20342
